"","share_type","EF442","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown_esco",1,1,115.565,0,0,NA,NA,0,0,0,0,0,0
"2","share_brown_esco",2,1,115.565,0,0,NA,NA,0,0,0,0,0,0
"3","share_brown_esco",3,16,1902.378,0,0,0,0,0,0,0,0,0,0
"4","share_brown_esco",4,9,869.626,0.00308641975308642,0.00296021252558891,0.00925925925925926,0.00913646446567008,0,0,0,0,0,0
"5","share_brown_esco",5,14,1522.67,0,0,0,0,0,0,0,0,0,0
"6","share_brown_esco",6,9,875.973,0.00308641975308642,0.00326300645745423,0.00925925925925926,0.00949237918576407,0,0,0,0,0,0
"7","share_brown_esco",7,15,1637.545,0.00185185185185185,0.00182763425330805,0.00717219138186559,0.00713978412652383,0,0,0,0,0,0
"8","share_brown_esco",8,9,1018.925,0,0,0,0,0,0,0,0,0,0
"9","share_brown_esco",9,13,1368.149,0.00641025641025641,0.00519672118233386,0.0121813613792643,0.0112964385062234,0,0,0,0,0,0
"10","share_brown_esco",10,13,1333.381,0,0,0,0,0,0,0,0,0,0
"11","share_brown_esco",11,12,1273.063,0.00925925925925926,0.00954530748107343,0.013676832331037,0.0138043525497509,0,0,0.0277777777777778,0,0,0.0277777777777778
"12","share_brown_esco",12,8,854.513,0.00347222222222222,0.00350976391101,0.00982092751647983,0.00987742580504486,0,0,0,0,0,0.00694444444444445
"13","share_brown_esco",13,6,697.097,0,0,0,0,0,0,0,0,0,0
"14","share_brown_esco",14,6,604.51,0.00462962962962963,0.00291333292896542,0.0113402302906629,0.00937290436002107,0,0,0,0,0,0
"15","share_brown_esco",15,6,657.059,0,0,0,0,0,0,0,0,0,0
"16","share_brown_esco",16,3,260.717,0,0,0,0,0,0,0,0,0,0
"17","share_brown_esco",19,1,83.843,0,0,NA,NA,0,0,0,0,0,0
"18","share_brown_esco",20,1,67.291,0,0,NA,NA,0,0,0,0,0,0
"19","share_brown_esco",21,4,543.858,0,0,0,0,0,0,0,0,0,0
"20","share_brown_esco",NA,15,1636.721,0.0037037037037037,0.00354455306948737,0.00977404931318051,0.00960218104435772,0,0,0,0,0,0
"21","share_brown_esco_ess",1,1,115.565,0,0,NA,NA,0,0,0,0,0,0
"22","share_brown_esco_ess",2,1,115.565,0,0,NA,NA,0,0,0,0,0,0
"23","share_brown_esco_ess",3,16,1902.378,0,0,0,0,0,0,0,0,0,0
"24","share_brown_esco_ess",4,9,869.626,0.00379867046533713,0.0036433384930325,0.0113960113960114,0.0112448793423632,0,0,0,0,0,0
"25","share_brown_esco_ess",5,14,1522.67,0,0,0,0,0,0,0,0,0,0
"26","share_brown_esco_ess",6,9,875.973,0.00379867046533713,0.00401600794763598,0.0113960113960114,0.0116829282286327,0,0,0,0,0,0
"27","share_brown_esco_ess",7,15,1637.545,0.00227920227920228,0.00224939600407145,0.00882731246998841,0.0087874266172601,0,0,0,0,0,0
"28","share_brown_esco_ess",8,9,1018.925,0,0,0,0,0,0,0,0,0,0
"29","share_brown_esco_ess",9,13,1368.149,0.00788954635108481,0.00639596453210322,0.0149924447744791,0.0139033089307364,0,0,0,0,0,0
"30","share_brown_esco_ess",10,13,1333.381,0,0,0,0,0,0,0,0,0,0
"31","share_brown_esco_ess",11,12,1273.063,0.0113960113960114,0.0117480707459365,0.0168330244074301,0.0169899723689241,0,0,0.0341880341880342,0,0,0.0341880341880342
"32","share_brown_esco_ess",12,8,854.513,0.00427350427350427,0.00431970942893539,0.0120872954048982,0.0121568317600552,0,0,0,0,0,0.00854700854700855
"33","share_brown_esco_ess",13,6,697.097,0,0,0,0,0,0,0,0,0,0
"34","share_brown_esco_ess",14,6,604.51,0.0056980056980057,0.00358564052795745,0.0139572065115851,0.0115358822892567,0,0,0,0,0,0
"35","share_brown_esco_ess",15,6,657.059,0,0,0,0,0,0,0,0,0,0
"36","share_brown_esco_ess",16,3,260.717,0,0,0,0,0,0,0,0,0,0
"37","share_brown_esco_ess",19,1,83.843,0,0,NA,NA,0,0,0,0,0,0
"38","share_brown_esco_ess",20,1,67.291,0,0,NA,NA,0,0,0,0,0,0
"39","share_brown_esco_ess",21,4,543.858,0,0,0,0,0,0,0,0,0,0
"40","share_brown_esco_ess",NA,15,1636.721,0.00455840455840456,0.00436252685475369,0.0120295991546837,0.011818068977671,0,0,0,0,0,0
"41","share_brown_vona2018",1,1,115.565,0,0,NA,NA,0,0,0,0,0,0
"42","share_brown_vona2018",2,1,115.565,0,0,NA,NA,0,0,0,0,0,0
"43","share_brown_vona2018",3,16,1902.378,0,0,0,0,0,0,0,0,0,0
"44","share_brown_vona2018",4,9,869.626,0.00987654320987654,0.0094726800818845,0.0296296296296296,0.0292366862901443,0,0,0,0,0,0
"45","share_brown_vona2018",5,14,1522.67,0,0,0,0,0,0,0,0,0,0
"46","share_brown_vona2018",6,9,875.973,0.00987654320987654,0.0104416206638535,0.0296296296296296,0.030375613394445,0,0,0,0,0,0
"47","share_brown_vona2018",7,15,1637.545,0.00592592592592593,0.00584842961058576,0.0229510124219699,0.0228473092048763,0,0,0,0,0,0
"48","share_brown_vona2018",8,9,1018.925,0,0,0,0,0,0,0,0,0,0
