"","share_type","EF540","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown_esco",10,8,903.49,0.00694444444444444,0.00513856145490143,0.012858612496841,0.0116177411806256,0,0,0.00694444444444444,0,0,0.00694444444444445
"2","share_brown_esco",20,20,1874.281,0.00277777777777778,0.00249199263314543,0.00854981960070962,0.00815213600584266,0,0,0,0,0,0
"3","share_brown_esco",33,3,302.459,0,0,0,0,0,0,0,0,0,0
"4","share_brown_esco",34,66,7267.406,0.00126262626262626,0.00104107909265623,0.00583041885234534,0.00531799048130451,0,0,0,0,0,0
"5","share_brown_esco",40,23,2441.833,0.0036231884057971,0.00385760979104177,0.00956528393264142,0.00982440443971513,0,0,0,0,0,0
"6","share_brown_esco",50,1,107.896,0,0,NA,NA,0,0,0,0,0,0
"7","share_brown_esco",60,21,2454.831,0.00264550264550265,0.00268963978013603,0.00835535010441998,0.00843600795145167,0,0,0,0,0,0
"8","share_brown_esco",70,19,1982.142,0.00292397660818713,0.00269772689231033,0.00875838243450849,0.0084598290228125,0,0,0,0,0,0
"9","share_brown_esco",80,1,104.111,0,0,NA,NA,0,0,0,0,0,0
"10","share_brown_esco_ess",10,8,903.49,0.00854700854700855,0.00632438332910945,0.0158259846114966,0.0142987583761546,0,0,0.00854700854700855,0,0,0.00854700854700855
"11","share_brown_esco_ess",20,20,1874.281,0.00341880341880342,0.00306706785617899,0.0105228548931811,0.0100333981610371,0,0,0,0,0,0
"12","share_brown_esco_ess",33,3,302.459,0,0,0,0,0,0,0,0,0,0
"13","share_brown_esco_ess",34,66,7267.406,0.00155400155400155,0.00128132811403844,0.0071759001259635,0.00654521905391324,0,0,0,0,0,0
"14","share_brown_esco_ess",40,23,2441.833,0.00445930880713489,0.00474782743512833,0.0117726571478664,0.012091574695034,0,0,0,0,0,0
"15","share_brown_esco_ess",50,1,107.896,0,0,NA,NA,0,0,0,0,0,0
"16","share_brown_esco_ess",60,21,2454.831,0.00325600325600326,0.00331032588324434,0.0102835078208246,0.0103827790171713,0,0,0,0,0,0
"17","share_brown_esco_ess",70,19,1982.142,0.0035987404408457,0.00332027925207425,0.0107795476117028,0.0104120972588461,0,0,0,0,0,0
"18","share_brown_esco_ess",80,1,104.111,0,0,NA,NA,0,0,0,0,0,0
"19","share_brown_vona2018",10,8,903.49,0.0222222222222222,0.0164433966556846,0.0411475599898912,0.0371767717780018,0,0,0.0222222222222222,0,0,0.0222222222222222
"20","share_brown_vona2018",20,20,1874.281,0.00888888888888889,0.00797437642606537,0.0273594227222708,0.0260868352186965,0,0,0,0,0,0
"21","share_brown_vona2018",33,3,302.459,0,0,0,0,0,0,0,0,0,0
"22","share_brown_vona2018",34,66,7267.406,0.00404040404040404,0.00333145309649994,0.0186573403275051,0.0170175695401744,0,0,0,0,0,0
"23","share_brown_vona2018",40,23,2441.833,0.0115942028985507,0.0123443513313337,0.0306089085844525,0.0314380942070884,0,0,0,0,0,0
"24","share_brown_vona2018",50,1,107.896,0,0,NA,NA,0,0,0,0,0,0
"25","share_brown_vona2018",60,21,2454.831,0.00846560846560847,0.0086068472964353,0.0267371203341439,0.0269952254446453,0,0,0,0,0,0
"26","share_brown_vona2018",70,19,1982.142,0.00935672514619883,0.00863272605539305,0.0280268237904272,0.027071452873,0,0,0,0,0,0
"27","share_brown_vona2018",80,1,104.111,0,0,NA,NA,0,0,0,0,0,0
"28","share_green_esco",10,8,903.49,0,0,0,0,0,0,0,0,0,0
"29","share_green_esco",20,20,1874.281,0,0,0,0,0,0,0,0,0,0
"30","share_green_esco",33,3,302.459,0,0,0,0,0,0,0,0,0,0
"31","share_green_esco",34,66,7267.406,0,0,0,0,0,0,0,0,0,0
"32","share_green_esco",40,23,2441.833,0,0,0,0,0,0,0,0,0,0
"33","share_green_esco",50,1,107.896,0,0,NA,NA,0,0,0,0,0,0
"34","share_green_esco",60,21,2454.831,0,0,0,0,0,0,0,0,0,0
"35","share_green_esco",70,19,1982.142,0,0,0,0,0,0,0,0,0,0
"36","share_green_esco",80,1,104.111,0,0,NA,NA,0,0,0,0,0,0
"37","share_green_esco_ess",10,8,903.49,0,0,0,0,0,0,0,0,0,0
"38","share_green_esco_ess",20,20,1874.281,0,0,0,0,0,0,0,0,0,0
"39","share_green_esco_ess",33,3,302.459,0,0,0,0,0,0,0,0,0,0
"40","share_green_esco_ess",34,66,7267.406,0,0,0,0,0,0,0,0,0,0
"41","share_green_esco_ess",40,23,2441.833,0,0,0,0,0,0,0,0,0,0
