"","share_type","EF46","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown_esco","Male",189,20215.913,0,0,0,0,0,0,0,0,0,0
"2","share_brown_esco","Female",223,25174.772,0,0,0,0,0,0,0,0,0,0
"3","share_brown_esco_ess","Male",189,20215.913,0,0,0,0,0,0,0,0,0,0
"4","share_brown_esco_ess","Female",223,25174.772,0,0,0,0,0,0,0,0,0,0
"5","share_brown_vona2018","Male",189,20215.913,0,0,0,0,0,0,0,0,0,0
"6","share_brown_vona2018","Female",223,25174.772,0,0,0,0,0,0,0,0,0,0
"7","share_green_esco","Male",189,20215.913,0,0,0,0,0,0,0,0,0,0
"8","share_green_esco","Female",223,25174.772,0,0,0,0,0,0,0,0,0,0
"9","share_green_esco_ess","Male",189,20215.913,0,0,0,0,0,0,0,0,0,0
"10","share_green_esco_ess","Female",223,25174.772,0,0,0,0,0,0,0,0,0,0
"11","share_green_gtp","Male",189,20215.913,0,0,0,0,0,0,0,0,0,0
"12","share_green_gtp","Female",223,25174.772,0,0,0,0,0,0,0,0,0,0
"13","share_green_jrc","Male",189,20215.913,0,0,0,0,0,0,0,0,0,0
"14","share_green_jrc","Female",223,25174.772,0,0,0,0,0,0,0,0,0,0
"15","share_green_vona2018","Male",189,20215.913,0,0,0,0,0,0,0,0,0,0
"16","share_green_vona2018","Female",223,25174.772,0,0,0,0,0,0,0,0,0,0
