EF114;EF114_name_en;n_obs;EF952_sum;EF952_share_green_esco;EF952_share_brown_esco;EF952_share_green_esco_ess;EF952_share_brown_esco_ess;EF952_share_green_gtp;EF952_share_green_vona2018;EF952_share_green_jrc;EF952_share_brown_vona2018
25183;Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks;3;278,763;0;0;0;0;0;0;0;0
26222;Technical occupations in maintenance of electric machines-skilled tasks;3;315,709;0;0;0;0;0;0;0;0
29143;Occupations in fruit juice production-complex tasks;9;1069,222;0;0;0;0;0;0;0;0
33332;Joiners-skilled tasks;10;1161,434;0;0;0;0;0;0;0;0
41383;Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks;11;1182,392;0;0;0;0;0;0;0;0
52522;Drivers of earthmoving and related machines-skilled tasks;14;1376,957;0;0;0;0;0;0;0;0
63123;Management assistants in the sports and fitness industry, sports administrators-complex tasks;36;3892,326;0;0;0;0;0;0;0;0
73222;Administrative occupations in the welfare and health care system-skilled tasks;38;4178,217;0;0;0;0;0;0;0;0
83211;Occupations in housekeeping-unskilled/semiskilled tasks;24;2582,367;0;0;0;0;0;0;0;0
94794;Managers in museum;10;1072,570;0;0;0;0;0;0;0;0
