EF137;EF137_name;n_obs;EF952_sum;EF952_share_green_esco;EF952_share_brown_esco;EF952_share_green_esco_ess;EF952_share_brown_esco_ess;EF952_share_green_gtp;EF952_share_green_vona2018;EF952_share_green_jrc;EF952_share_brown_vona2018
201;Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms;8;868,292;0;0;0;0;0;0;0;0
293;Manufacture of parts and accessories for motor vehicles;17;1677,492;0;0;0;0;0;0;0;0
390;Remediation activities and other waste management services;5;463,022;0;0;0;0;0;0;0;0
501;Sea and coastal passenger water transport;31;3653,426;0;0;0;0;0;0;0;0
601;Radio broadcasting;13;1505,055;0;0;0;0;0;0;0;0
701;Activities of head offices;20;2180,990;0;0;0;0;0;0;0;0
801;Private security activities;13;1468,349;0;0;0;0;0;0;0;0
900;Creative, arts and entertainment activities;50;5073,256;0;0;0;0;0;0;0;0
952;Repair of personal and household goods;3;327,996;0;0;0;0;0;0;0;0
960;Other personal service activities;2;220,571;0;0;0;0;0;0;0;0
