EF189;n_obs;EF952_sum;EF952_share_green_esco;EF952_share_brown_esco;EF952_share_green_esco_ess;EF952_share_brown_esco_ess;EF952_share_green_gtp;EF952_share_green_vona2018;EF952_share_green_jrc;EF952_share_brown_vona2018
0;40;4319,067;0;0;0;0;0;0;0;0
13;3;293,129;0;0;0;0;0;0;0;0
14;1;119,193;0;0;0;0;0;0;0;0
15;3;341,971;0;0;0;0;0;0;0;0
31;4;412,900;0;0;0;0;0;0;0;0
32;5;533,939;0;0;0;0;0;0;0;0
33;4;402,556;0;0;0;0;0;0;0;0
34;7;699,168;0;0;0;0;0;0;0;0
51;11;1329,540;0;0;0;0;0;0;0;0
52;21;2372,743;0;0;0;0;0;0;0;0
53;4;436,609;0;0;0;0;0;0;0;0
54;2;231,066;0;0;0;0;0;0;0;0
55;5;477,580;0;0;0;0;0;0;0;0
61;5;497,754;0;0;0;0;0;0;0;0
62;1;98,384;0;0;0;0;0;0;0;0
63;1;106,398;0;0;0;0;0;0;0;0
71;3;326,236;0;0;0;0;0;0;0;0
73;2;224,008;0;0;0;0;0;0;0;0
81;5;508,339;0;0;0;0;0;0;0;0
82;5;291,027;0;0;0;0;0;0;0;0
83;5;454,741;0;0;0;0;0;0;0;0
84;6;713,101;0;0;0;0;0;0;0;0
91;6;716,652;0;0;0;0;0;0;0;0
92;2;353,239;0;0;0;0;0;0;0;0
93;1;105,486;0;0;0;0;0;0;0;0
95;6;636,934;0;0;0;0;0;0;0;0
96;2;205,559;0;0;0;0;0;0;0;0
97;2;231,130;0;0;0;0;0;0;0;0
