EF564;n_obs;EF952_sum;EF952_share_green_esco;EF952_share_brown_esco;EF952_share_green_esco_ess;EF952_share_brown_esco_ess;EF952_share_green_gtp;EF952_share_green_vona2018;EF952_share_green_jrc;EF952_share_brown_vona2018
102;4;390,148;0;0;0;0;0;0;0;0
105;1;109,115;0;0;0;0;0;0;0;0
205;1;65,069;0;0;0;0;0;0;0;0
301;3;329,959;0;0;0;0;0;0;0;0
302;1;82,941;0;0;0;0;0;0;0;0
303;4;403,987;0;0;0;0;0;0;0;0
305;1;129,952;0;0;0;0;0;0;0;0
307;3;307,714;0;0;0;0;0;0;0;0
308;1;94,842;0;0;0;0;0;0;0;0
309;1;103,232;0;0;0;0;0;0;0;0
310;3;286,921;0;0;0;0;0;0;0;0
311;3;309,015;0;0;0;0;0;0;0;0
401;4;403,212;0;0;0;0;0;0;0;0
501;2;209,511;0;0;0;0;0;0;0;0
503;1;107,242;0;0;0;0;0;0;0;0
505;1;162,978;0;0;0;0;0;0;0;0
507;2;194,366;0;0;0;0;0;0;0;0
508;2;232,360;0;0;0;0;0;0;0;0
509;2;303,844;0;0;0;0;0;0;0;0
510;1;119,239;0;0;0;0;0;0;0;0
513;4;406,972;0;0;0;0;0;0;0;0
514;1;116,267;0;0;0;0;0;0;0;0
515;8;827,417;0;0;0;0;0;0;0;0
516;5;618,457;0;0;0;0;0;0;0;0
517;3;403,630;0;0;0;0;0;0;0;0
519;2;269,429;0;0;0;0;0;0;0;0
520;2;167,180;0;0;0;0;0;0;0;0
524;1;99,946;0;0;0;0;0;0;0;0
526;1;131,120;0;0;0;0;0;0;0;0
528;2;224,170;0;0;0;0;0;0;0;0
529;3;253,410;0;0;0;0;0;0;0;0
601;2;197,826;0;0;0;0;0;0;0;0
605;3;299,928;0;0;0;0;0;0;0;0
607;1;98,384;0;0;0;0;0;0;0;0
610;1;106,398;0;0;0;0;0;0;0;0
701;3;326,236;0;0;0;0;0;0;0;0
704;1;107,969;0;0;0;0;0;0;0;0
705;1;116,039;0;0;0;0;0;0;0;0
801;1;124,506;0;0;0;0;0;0;0;0
802;3;285,717;0;0;0;0;0;0;0;0
804;1;98,116;0;0;0;0;0;0;0;0
807;5;291,027;0;0;0;0;0;0;0;0
808;3;307,295;0;0;0;0;0;0;0;0
810;2;147,446;0;0;0;0;0;0;0;0
811;3;399,101;0;0;0;0;0;0;0;0
813;3;314,000;0;0;0;0;0;0;0;0
902;2;284,320;0;0;0;0;0;0;0;0
903;4;432,332;0;0;0;0;0;0;0;0
906;1;231,652;0;0;0;0;0;0;0;0
907;1;121,587;0;0;0;0;0;0;0;0
908;1;105,486;0;0;0;0;0;0;0;0
913;3;269,431;0;0;0;0;0;0;0;0
915;3;367,503;0;0;0;0;0;0;0;0
918;2;205,559;0;0;0;0;0;0;0;0
920;2;231,130;0;0;0;0;0;0;0;0
1001;1;94,123;0;0;0;0;0;0;0;0
1101;1;124,672;0;0;0;0;0;0;0;0
1104;1;105,884;0;0;0;0;0;0;0;0
1106;2;234,552;0;0;0;0;0;0;0;0
1109;2;213,558;0;0;0;0;0;0;0;0
1110;4;517,788;0;0;0;0;0;0;0;0
1111;1;170,682;0;0;0;0;0;0;0;0
1112;3;312,168;0;0;0;0;0;0;0;0
1202;1;151,715;0;0;0;0;0;0;0;0
1204;4;399,993;0;0;0;0;0;0;0;0
1304;3;282,891;0;0;0;0;0;0;0;0
1412;3;293,129;0;0;0;0;0;0;0;0
1415;1;119,193;0;0;0;0;0;0;0;0
1416;2;234,075;0;0;0;0;0;0;0;0
1417;1;107,896;0;0;0;0;0;0;0;0
1501;1;114,016;0;0;0;0;0;0;0;0
1504;3;288,960;0;0;0;0;0;0;0;0
1602;1;134,828;0;0;0;0;0;0;0;0
1603;2;205,693;0;0;0;0;0;0;0;0
