"","share_type","EF44_binned","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown_esco","[15,20]",10,1094.286,0,0,0,0,0,0,0,0,0,0
"2","share_brown_esco","(20,25]",10,1086.807,0,0,0,0,0,0,0,0,0,0
"3","share_brown_esco","(25,30]",16,1849.011,0,0,0,0,0,0,0,0,0,0
"4","share_brown_esco","(30,35]",15,1825.22,0,0,0,0,0,0,0,0,0,0
"5","share_brown_esco","(35,40]",11,1140.628,0,0,0,0,0,0,0,0,0,0
"6","share_brown_esco","(40,45]",13,1421.239,0,0,0,0,0,0,0,0,0,0
"7","share_brown_esco","(45,50]",27,2738.342,0,0,0,0,0,0,0,0,0,0
"8","share_brown_esco","(50,55]",27,2844.896,0,0,0,0,0,0,0,0,0,0
"9","share_brown_esco","(55,60]",23,2388.21,0,0,0,0,0,0,0,0,0,0
"10","share_brown_esco","(60,65]",9,938.777,0,0,0,0,0,0,0,0,0,0
"11","share_brown_esco","(65,70]",1,111.033,0,0,NA,NA,0,0,0,0,0,0
"12","share_brown_esco_ess","[15,20]",10,1094.286,0,0,0,0,0,0,0,0,0,0
"13","share_brown_esco_ess","(20,25]",10,1086.807,0,0,0,0,0,0,0,0,0,0
"14","share_brown_esco_ess","(25,30]",16,1849.011,0,0,0,0,0,0,0,0,0,0
"15","share_brown_esco_ess","(30,35]",15,1825.22,0,0,0,0,0,0,0,0,0,0
"16","share_brown_esco_ess","(35,40]",11,1140.628,0,0,0,0,0,0,0,0,0,0
"17","share_brown_esco_ess","(40,45]",13,1421.239,0,0,0,0,0,0,0,0,0,0
"18","share_brown_esco_ess","(45,50]",27,2738.342,0,0,0,0,0,0,0,0,0,0
"19","share_brown_esco_ess","(50,55]",27,2844.896,0,0,0,0,0,0,0,0,0,0
"20","share_brown_esco_ess","(55,60]",23,2388.21,0,0,0,0,0,0,0,0,0,0
"21","share_brown_esco_ess","(60,65]",9,938.777,0,0,0,0,0,0,0,0,0,0
"22","share_brown_esco_ess","(65,70]",1,111.033,0,0,NA,NA,0,0,0,0,0,0
"23","share_brown_vona2018","[15,20]",10,1094.286,0,0,0,0,0,0,0,0,0,0
"24","share_brown_vona2018","(20,25]",10,1086.807,0,0,0,0,0,0,0,0,0,0
"25","share_brown_vona2018","(25,30]",16,1849.011,0,0,0,0,0,0,0,0,0,0
"26","share_brown_vona2018","(30,35]",15,1825.22,0,0,0,0,0,0,0,0,0,0
"27","share_brown_vona2018","(35,40]",11,1140.628,0,0,0,0,0,0,0,0,0,0
"28","share_brown_vona2018","(40,45]",13,1421.239,0,0,0,0,0,0,0,0,0,0
"29","share_brown_vona2018","(45,50]",27,2738.342,0,0,0,0,0,0,0,0,0,0
"30","share_brown_vona2018","(50,55]",27,2844.896,0,0,0,0,0,0,0,0,0,0
"31","share_brown_vona2018","(55,60]",23,2388.21,0,0,0,0,0,0,0,0,0,0
"32","share_brown_vona2018","(60,65]",9,938.777,0,0,0,0,0,0,0,0,0,0
"33","share_brown_vona2018","(65,70]",1,111.033,0,0,NA,NA,0,0,0,0,0,0
"34","share_green_esco","[15,20]",10,1094.286,0,0,0,0,0,0,0,0,0,0
"35","share_green_esco","(20,25]",10,1086.807,0,0,0,0,0,0,0,0,0,0
"36","share_green_esco","(25,30]",16,1849.011,0,0,0,0,0,0,0,0,0,0
"37","share_green_esco","(30,35]",15,1825.22,0,0,0,0,0,0,0,0,0,0
"38","share_green_esco","(35,40]",11,1140.628,0,0,0,0,0,0,0,0,0,0
"39","share_green_esco","(40,45]",13,1421.239,0,0,0,0,0,0,0,0,0,0
"40","share_green_esco","(45,50]",27,2738.342,0,0,0,0,0,0,0,0,0,0
"41","share_green_esco","(50,55]",27,2844.896,0,0,0,0,0,0,0,0,0,0
"42","share_green_esco","(55,60]",23,2388.21,0,0,0,0,0,0,0,0,0,0
"43","share_green_esco","(60,65]",9,938.777,0,0,0,0,0,0,0,0,0,0
"44","share_green_esco","(65,70]",1,111.033,0,0,NA,NA,0,0,0,0,0,0
"45","share_green_esco_ess","[15,20]",10,1094.286,0,0,0,0,0,0,0,0,0,0
