"","share_type","EF517","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown_esco",100,8,903.49,0,0,0,0,0,0,0,0,0,0
"2","share_brown_esco",244,20,1874.281,0,0,0,0,0,0,0,0,0,0
"3","share_brown_esco",344,12,1487.816,0,0,0,0,0,0,0,0,0,0
"4","share_brown_esco",353,3,302.459,0,0,0,0,0,0,0,0,0,0
"5","share_brown_esco",354,54,5779.59,0,0,0,0,0,0,0,0,0,0
"6","share_brown_esco",453,5,550.091,0,0,0,0,0,0,0,0,0,0
"7","share_brown_esco",454,18,1891.742,0,0,0,0,0,0,0,0,0,0
"8","share_brown_esco",550,1,107.896,0,0,NA,NA,0,0,0,0,0,0
"9","share_brown_esco",640,12,1511.267,0,0,0,0,0,0,0,0,0,0
"10","share_brown_esco",650,9,943.564,0,0,0,0,0,0,0,0,0,0
"11","share_brown_esco",740,19,1982.142,0,0,0,0,0,0,0,0,0,0
"12","share_brown_esco",800,1,104.111,0,0,NA,NA,0,0,0,0,0,0
"13","share_brown_esco_ess",100,8,903.49,0,0,0,0,0,0,0,0,0,0
"14","share_brown_esco_ess",244,20,1874.281,0,0,0,0,0,0,0,0,0,0
"15","share_brown_esco_ess",344,12,1487.816,0,0,0,0,0,0,0,0,0,0
"16","share_brown_esco_ess",353,3,302.459,0,0,0,0,0,0,0,0,0,0
"17","share_brown_esco_ess",354,54,5779.59,0,0,0,0,0,0,0,0,0,0
"18","share_brown_esco_ess",453,5,550.091,0,0,0,0,0,0,0,0,0,0
"19","share_brown_esco_ess",454,18,1891.742,0,0,0,0,0,0,0,0,0,0
"20","share_brown_esco_ess",550,1,107.896,0,0,NA,NA,0,0,0,0,0,0
"21","share_brown_esco_ess",640,12,1511.267,0,0,0,0,0,0,0,0,0,0
"22","share_brown_esco_ess",650,9,943.564,0,0,0,0,0,0,0,0,0,0
"23","share_brown_esco_ess",740,19,1982.142,0,0,0,0,0,0,0,0,0,0
"24","share_brown_esco_ess",800,1,104.111,0,0,NA,NA,0,0,0,0,0,0
"25","share_brown_vona2018",100,8,903.49,0,0,0,0,0,0,0,0,0,0
"26","share_brown_vona2018",244,20,1874.281,0,0,0,0,0,0,0,0,0,0
"27","share_brown_vona2018",344,12,1487.816,0,0,0,0,0,0,0,0,0,0
"28","share_brown_vona2018",353,3,302.459,0,0,0,0,0,0,0,0,0,0
"29","share_brown_vona2018",354,54,5779.59,0,0,0,0,0,0,0,0,0,0
"30","share_brown_vona2018",453,5,550.091,0,0,0,0,0,0,0,0,0,0
"31","share_brown_vona2018",454,18,1891.742,0,0,0,0,0,0,0,0,0,0
