EF137,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
Support activities for other mining and quarrying,7,628.308,0,15.47922222222222,612.8287777777778,0,0.02463636022814005,0.9753636397718599
"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",14,1391.837,0,7.5489999999999995,1384.288,0,0.005423767294589811,0.9945762327054102
Manufacture of parts and accessories for motor vehicles,51,5536.681,0,101.96799999999999,5434.713,0,0.01841680963739829,0.9815831903626018
Remediation activities and other waste management services,8,726.45,0,10.93711111111111,715.5128888888888,0,0.015055559379325636,0.9849444406206742
Sea and coastal passenger water transport,94,10434.425,0,184.75455555555556,10249.670444444444,0,0.017706251715408905,0.9822937482845912
Radio broadcasting,37,4337.5560000000005,0,157.53433333333334,4180.0216666666665,0,0.03631868576067567,0.9636813142393242
Activities of head offices,49,5522.12,0,65.49644444444444,5456.623555555556,0,0.011860742693828537,0.9881392573061716
Private security activities,33,3843.989,0,84.54755555555555,3759.441444444444,0,0.02199474440628096,0.978005255593719
"Creative, arts and entertainment activities",109,11881.111,0,11.585111111111111,11869.52588888889,0,9.750865143092351e-4,0.9990249134856908
Repair of personal and household goods,4,437.466,0,0,437.466,0,0,1
Other personal service activities,6,650.742,0,0,650.742,0,0,1
