EF189,n_obs,EF952_sum,share_green,share_brown,share_neutral,share_green_cat_abs,share_brown_cat_abs,share_neutral_cat_abs,share_green_cat_rel,share_brown_cat_rel,share_neutral_cat_rel
"Schleswig-Holstein, Hamburg, Bremen, Saarland, Berlin, Mecklenburg-Western Pomerania, Saxony-Anhalt, Thuringia, Brandenburg",83,8469.084,0,0.00994115118523378,0.9900588488147661,0,0,1,0,0.08947036066710401,0.9105296393328959
Braunschweig (Lower Saxony),7,733.499,0,0.016819382166846853,0.9831806178331531,0,0,1,0,0.1513744395016217,0.8486255604983783
Hannover (Lower Saxony),10,1092.635,0,0.02037856496756312,0.9796214350324369,0,0,1,0,0.1834070847080681,0.8165929152919319
Lueneburg (Lower Saxony),12,1285.684,0,0.02023609395638603,0.979763906043614,0,0,1,0,0.1821248456074743,0.8178751543925257
Weser-Ems (Lower Saxony),13,1325.532,0,0.028380386977538915,0.971619613022461,0,0,1,0,0.25542348279785027,0.7445765172021499
Duesseldorf (North Rhine-Westphalia),29,3744.948,0,0.014437286950016098,0.985562713049984,0,0,1,0,0.1299355825501449,0.8700644174498552
Koeln (North Rhine-Westphalia),33,3739.679,0,0.012488059358392346,0.9875119406416076,0,0,1,0,0.11239253422553112,0.8876074657744688
Muenster (North Rhine-Westphalia),12,1504.708,0,0,1,0,0,1,0,0,1
Detmold (North Rhine-Westphalia),5,521.016,0,0.021260810075357035,0.978739189924643,0,0,1,0,0.19134729067821335,0.8086527093217868
Arnsberg (North Rhine-Westphalia),10,1097.711,0,0.011621455920547393,0.9883785440794526,0,0,1,0,0.10459310328492655,0.8954068967150735
Darmstadt (Hessen),27,2970.691,0,0.0034599507133001865,0.9965400492866999,0,0,1,0,0.031139556419701682,0.9688604435802983
Gießen (Hessen),9,1028.234,0,0.012120133484531084,0.987879866515469,0,0,1,0,0.10908120136077976,0.8909187986392203
Kassel (Hessen),5,486.851,0,0.041335713253815506,0.9586642867461845,0,0,1,0,0.37202141928433957,0.6279785807156604
Region Koblenz (Rhineland-Palatinate),10,1174.87,0,0.030730303021705475,0.9692696969782946,0,0,1,0,0.2765727271953493,0.7234272728046508
Region Trier (Rhineland-Palatinate),2,289.068,0,0,1,0,0,1,0,0,1
Region Rheinhessen-Pfalz (Rhineland-Palatinate),10,1057.337,0,0.021237000754411,0.978762999245589,0,0,1,0,0.19113300678969902,0.808866993210301
Stuttgart (Baden-Wuerttemberg),22,2296.245,0,0.03593073813019856,0.9640692618698016,0,0,1,0,0.323376643171787,0.6766233568282131
Karlsruhe (Baden-Wuerttemberg),10,808.748,0,0.00826737404262171,0.9917326259573783,0,0,1,0,0.07440636638359538,0.9255936336164046
Freiburg (Baden-Wuerttemberg),11,1028.427,0,0.004763477513609512,0.9952365224863906,0,0,1,0,0.04287129762248561,0.9571287023775145
Tuebingen (Baden-Wuerttemberg),14,1450.484,0,0.008116294668231815,0.9918837053317682,0,0,1,0,0.07304665201408633,0.9269533479859137
Oberbayern (Bavaria),15,1769.088,0,0.003982026646246854,0.9960179733537532,0,0,1,0,0.035838239816221695,0.9641617601837783
Niederbayern (Bavaria),6,1215.442,0,0.015903405235845616,0.9840965947641545,0,0,1,0,0.14313064712261056,0.8568693528773894
Oberpfalz (Bavaria),1,105.486,0,0,1,0,0,1,0,0,1
Oberfranken (Bavaria),6,687.711,0,0.036011089283466774,0.9639889107165331,0,0,1,0,0.324099803551201,0.675900196448799
Mittelfranken (Bavaria),10,1109.769,0,0.023673695456742194,0.9763263045432578,0,0,1,0,0.21306325911067978,0.7869367408893202
Unterfranken (Bavaria),14,1514.993,0,0,1,0,0,1,0,0,1
Schwaben (Bavaria),8,897.692,0,0.01478482845143125,0.9852151715485687,0,0,1,0,0.13306345606288125,0.8669365439371187
Chemnitz (Saxony),7,753.707,0,0.01132196522580319,0.9886780347741969,0,0,1,0,0.1018976870322287,0.8981023129677712
Dresden (Saxony),3,240.381,0,0,1,0,0,1,0,0,1
Leipzig (Saxony),3,341.971,0,0.0419467017833546,0.9580532982166454,0,0,1,0,0.3775203160501914,0.6224796839498086
NA,5,648.994,0,0.018439992425884434,0.9815600075741155,0,0,1,0,0.16595993183295993,0.8340400681670401
