"","share_type","EF44_bin5","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown","[15,20]",16,1783.922,0.0138888888888889,0.0150471202714518,0.0379516695035541,0.0393565849991542,0,0,0,0,0,0
"2","share_brown","(20,25]",30,3214.839,0.0148148148148148,0.0149873757286135,0.0384162115157512,0.0386256288564211,0,0,0,0,0,0
"3","share_brown","(25,30]",41,4927.746,0.013550135501355,0.0147605461446719,0.0368105086916155,0.0382201404945483,0,0,0,0,0,0
"4","share_brown","(30,35]",31,3842.078,0.025089605734767,0.0221695423963572,0.0472248576114713,0.0451967955850954,0,0,0,0,0,0
"5","share_brown","(35,40]",42,4527.438,0.0158730158730159,0.0162973457002,0.039352089073397,0.0398105928221662,0,0,0,0,0,0
"6","share_brown","(40,45]",40,4330.293,0.0138888888888889,0.0132645886907781,0.0372146737253935,0.0365095985708226,0,0,0,0,0,0
"7","share_brown","(45,50]",57,6120.604,0.00974658869395711,0.00849064714673403,0.0317112033957259,0.0298183583765221,0,0,0,0,0,0
"8","share_brown","(50,55]",53,5526.539,0.010482180293501,0.0103172869835694,0.0327886476500336,0.0325726936490551,0,0,0,0,0,0
"9","share_brown","(55,60]",56,5967.407,0.0158730158730159,0.014580276566429,0.0392326590891,0.0378753514729408,0,0,0,0,0,0
"10","share_brown","(60,65]",33,3780.964,0.0101010101010101,0.0122120237648976,0.0324374560067301,0.0353495104761425,0,0,0,0,0,0
"11","share_brown","(65,70]",10,950.158,0.0222222222222222,0.018140023963266,0.0468485579284204,0.0435344491420262,0,0,0,0,0,0
"12","share_brown","(85,90]",3,418.697,0.037037037037037,0.0388968633641989,0.0641500299099584,0.0654061493596491,0,0,0.0555555555555556,0.111111111111111,0.0555555555555555,0.111111111111111
"13","share_brown_cat_abs","[15,20]",16,1783.922,0,0,0,0,0,0,0,0,0,0
"14","share_brown_cat_abs","(20,25]",30,3214.839,0,0,0,0,0,0,0,0,0,0
"15","share_brown_cat_abs","(25,30]",41,4927.746,0,0,0,0,0,0,0,0,0,0
"16","share_brown_cat_abs","(30,35]",31,3842.078,0,0,0,0,0,0,0,0,0,0
"17","share_brown_cat_abs","(35,40]",42,4527.438,0,0,0,0,0,0,0,0,0,0
"18","share_brown_cat_abs","(40,45]",40,4330.293,0,0,0,0,0,0,0,0,0,0
"19","share_brown_cat_abs","(45,50]",57,6120.604,0,0,0,0,0,0,0,0,0,0
"20","share_brown_cat_abs","(50,55]",53,5526.539,0,0,0,0,0,0,0,0,0,0
"21","share_brown_cat_abs","(55,60]",56,5967.407,0,0,0,0,0,0,0,0,0,0
"22","share_brown_cat_abs","(60,65]",33,3780.964,0,0,0,0,0,0,0,0,0,0
"23","share_brown_cat_abs","(65,70]",10,950.158,0,0,0,0,0,0,0,0,0,0
"24","share_brown_cat_abs","(85,90]",3,418.697,0,0,0,0,0,0,0,0,0,0
"25","share_brown_cat_rel","[15,20]",16,1783.922,0.125,0.135424082443066,0.341565025531987,0.354209264992388,0,0,0,0,0,0
"26","share_brown_cat_rel","(20,25]",30,3214.839,0.133333333333333,0.134886381557521,0.34574590364176,0.34763065970779,0,0,0,0,0,0
"27","share_brown_cat_rel","(25,30]",41,4927.746,0.121951219512195,0.132844915302047,0.33129457822454,0.343981264450935,0,0,0,0,0,0
"28","share_brown_cat_rel","(30,35]",31,3842.078,0.225806451612903,0.199525881567214,0.425023718503241,0.406771160265859,0,0,0,0,0,0
"29","share_brown_cat_rel","(35,40]",42,4527.438,0.142857142857143,0.1466761113018,0.354168801660573,0.358295335399496,0,0,0,0,0,0
"30","share_brown_cat_rel","(40,45]",40,4330.293,0.125,0.119381298217003,0.334932063528542,0.328586387137403,0,0,0,0,0,0
"31","share_brown_cat_rel","(45,50]",57,6120.604,0.087719298245614,0.0764158243206063,0.285400830561533,0.268365225388699,0,0,0,0,0,0
"32","share_brown_cat_rel","(50,55]",53,5526.539,0.0943396226415094,0.092855582852125,0.295097828850303,0.293154242841496,0,0,0,0,0,0
"33","share_brown_cat_rel","(55,60]",56,5967.407,0.142857142857143,0.131222489097861,0.3530939318019,0.340878163256467,0,0,0,0,0,0
"34","share_brown_cat_rel","(60,65]",33,3780.964,0.0909090909090909,0.109908213884078,0.291937104060571,0.318145594285283,0,0,0,0,0,0
"35","share_brown_cat_rel","(65,70]",10,950.158,0.2,0.163260215669394,0.421637021355784,0.391810042278236,0,0,0,0,0,0
"36","share_brown_cat_rel","(85,90]",3,418.697,0.333333333333333,0.35007177027779,0.577350269189626,0.588655344236842,0,0,0.5,1,0.5,1
"37","share_green","[15,20]",16,1783.922,0,0,0,0,0,0,0,0,0,0
"38","share_green","(20,25]",30,3214.839,0,0,0,0,0,0,0,0,0,0
"39","share_green","(25,30]",41,4927.746,0,0,0,0,0,0,0,0,0,0
"40","share_green","(30,35]",31,3842.078,0,0,0,0,0,0,0,0,0,0
"41","share_green","(35,40]",42,4527.438,0,0,0,0,0,0,0,0,0,0
"42","share_green","(40,45]",40,4330.293,0,0,0,0,0,0,0,0,0,0
"43","share_green","(45,50]",57,6120.604,0,0,0,0,0,0,0,0,0,0
"44","share_green","(50,55]",53,5526.539,0,0,0,0,0,0,0,0,0,0
"45","share_green","(55,60]",56,5967.407,0,0,0,0,0,0,0,0,0,0
"46","share_green","(60,65]",33,3780.964,0,0,0,0,0,0,0,0,0,0
"47","share_green","(65,70]",10,950.158,0,0,0,0,0,0,0,0,0,0
"48","share_green","(85,90]",3,418.697,0,0,0,0,0,0,0,0,0,0
"49","share_green_cat_abs","[15,20]",16,1783.922,0,0,0,0,0,0,0,0,0,0
"50","share_green_cat_abs","(20,25]",30,3214.839,0,0,0,0,0,0,0,0,0,0
"51","share_green_cat_abs","(25,30]",41,4927.746,0,0,0,0,0,0,0,0,0,0
"52","share_green_cat_abs","(30,35]",31,3842.078,0,0,0,0,0,0,0,0,0,0
"53","share_green_cat_abs","(35,40]",42,4527.438,0,0,0,0,0,0,0,0,0,0
"54","share_green_cat_abs","(40,45]",40,4330.293,0,0,0,0,0,0,0,0,0,0
"55","share_green_cat_abs","(45,50]",57,6120.604,0,0,0,0,0,0,0,0,0,0
"56","share_green_cat_abs","(50,55]",53,5526.539,0,0,0,0,0,0,0,0,0,0
"57","share_green_cat_abs","(55,60]",56,5967.407,0,0,0,0,0,0,0,0,0,0
"58","share_green_cat_abs","(60,65]",33,3780.964,0,0,0,0,0,0,0,0,0,0
"59","share_green_cat_abs","(65,70]",10,950.158,0,0,0,0,0,0,0,0,0,0
"60","share_green_cat_abs","(85,90]",3,418.697,0,0,0,0,0,0,0,0,0,0
"61","share_green_cat_rel","[15,20]",16,1783.922,0,0,0,0,0,0,0,0,0,0
"62","share_green_cat_rel","(20,25]",30,3214.839,0,0,0,0,0,0,0,0,0,0
"63","share_green_cat_rel","(25,30]",41,4927.746,0,0,0,0,0,0,0,0,0,0
"64","share_green_cat_rel","(30,35]",31,3842.078,0,0,0,0,0,0,0,0,0,0
"65","share_green_cat_rel","(35,40]",42,4527.438,0,0,0,0,0,0,0,0,0,0
"66","share_green_cat_rel","(40,45]",40,4330.293,0,0,0,0,0,0,0,0,0,0
"67","share_green_cat_rel","(45,50]",57,6120.604,0,0,0,0,0,0,0,0,0,0
"68","share_green_cat_rel","(50,55]",53,5526.539,0,0,0,0,0,0,0,0,0,0
"69","share_green_cat_rel","(55,60]",56,5967.407,0,0,0,0,0,0,0,0,0,0
"70","share_green_cat_rel","(60,65]",33,3780.964,0,0,0,0,0,0,0,0,0,0
"71","share_green_cat_rel","(65,70]",10,950.158,0,0,0,0,0,0,0,0,0,0
"72","share_green_cat_rel","(85,90]",3,418.697,0,0,0,0,0,0,0,0,0,0
"73","share_neutral","[15,20]",16,1783.922,0.986111111111111,0.984952879728548,0.0379516695035541,0.0393565849991542,1,1,1,1,1,1
"74","share_neutral","(20,25]",30,3214.839,0.985185185185185,0.985012624271387,0.0384162115157512,0.0386256288564211,1,1,1,1,1,1
"75","share_neutral","(25,30]",41,4927.746,0.986449864498645,0.985239453855328,0.0368105086916155,0.0382201404945483,1,1,1,1,1,1
