"","share_type","EF517","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown","ISCED-Level 1 - PE",11,1387.799,0.0303030303030303,0.0255446053627202,0.0518999296107682,0.0492832250955612,0,0,0.0555555555555556,0,0,0.0555555555555555
"2","share_brown","ISCED-Level 2 - LSGE",39,4297.241,0.0256410256410256,0.0267190816929591,0.0474258661020393,0.0482374907486871,0,0,0,0,0,0.0555555555555555
"3","share_brown","ISCED-Level 3 - USGE",27,3259.861,0.0246913580246914,0.0242072012000239,0.0470732525409069,0.0467814546548813,0,0,0,0,0,0
"4","share_brown","ISCED-Level 3 - USVE",153,16279.282,0.0108932461873638,0.009820717045274,0.0331493604440283,0.0316502764442136,0,0,0,0,0,0
"5","share_brown","ISCED-Level 4 - PSNTVE",61,6703.782,0.0127504553734062,0.0125278536802062,0.0357077797873323,0.0354441945312402,0,0,0,0,0,0
"6","share_brown","ISCED-Level 5 - SCTVE",2,203.416,0,0,0,0,0,0,0,0,0,0
"7","share_brown","ISCED-Level 6 - Bachelor",64,7160.277,0.0173611111111111,0.0186382919729688,0.0406625030395222,0.0418686558782932,0,0,0,0,0,0
"8","share_brown","ISCED-Level 6 - Master",55,6099.027,0.00606060606060606,0.00546916017186931,0.0254648759611974,0.024275442853887,0,0,0,0,0,0
"9","share_green","ISCED-Level 1 - PE",11,1387.799,0,0,0,0,0,0,0,0,0,0
"10","share_green","ISCED-Level 2 - LSGE",39,4297.241,0,0,0,0,0,0,0,0,0,0
"11","share_green","ISCED-Level 3 - USGE",27,3259.861,0,0,0,0,0,0,0,0,0,0
"12","share_green","ISCED-Level 3 - USVE",153,16279.282,0,0,0,0,0,0,0,0,0,0
"13","share_green","ISCED-Level 4 - PSNTVE",61,6703.782,0,0,0,0,0,0,0,0,0,0
"14","share_green","ISCED-Level 5 - SCTVE",2,203.416,0,0,0,0,0,0,0,0,0,0
"15","share_green","ISCED-Level 6 - Bachelor",64,7160.277,0,0,0,0,0,0,0,0,0,0
"16","share_green","ISCED-Level 6 - Master",55,6099.027,0,0,0,0,0,0,0,0,0,0
"17","share_neutral","ISCED-Level 1 - PE",11,1387.799,0.96969696969697,0.97445539463728,0.0518999296107682,0.0492832250955612,1,0.944444444444444,1,1,1,1
"18","share_neutral","ISCED-Level 2 - LSGE",39,4297.241,0.974358974358974,0.973280918307041,0.0474258661020394,0.0482374907486871,1,1,1,1,1,1
"19","share_neutral","ISCED-Level 3 - USGE",27,3259.861,0.975308641975309,0.975792798799976,0.0470732525409069,0.0467814546548814,1,1,1,1,1,1
"20","share_neutral","ISCED-Level 3 - USVE",153,16279.282,0.989106753812636,0.990179282954726,0.0331493604440283,0.0316502764442136,1,1,1,1,1,1
"21","share_neutral","ISCED-Level 4 - PSNTVE",61,6703.782,0.987249544626594,0.987472146319794,0.0357077797873323,0.0354441945312402,1,1,1,1,1,1
"22","share_neutral","ISCED-Level 5 - SCTVE",2,203.416,1,1,0,0,1,1,1,1,1,1
"23","share_neutral","ISCED-Level 6 - Bachelor",64,7160.277,0.982638888888889,0.981361708027031,0.0406625030395222,0.0418686558782932,1,1,1,1,1,1
"24","share_neutral","ISCED-Level 6 - Master",55,6099.027,0.993939393939394,0.994530839828131,0.0254648759611974,0.024275442853887,1,1,1,1,1,1
