"Variable","N","Mean","Std. Dev.","Pctl. 25","Pctl. 75","Sum"
"EF952","0","NaN",NA,NA,NA,"0"
"EF46","0","NaN",NA,NA,NA,"0"
"EF44","0","NaN",NA,NA,NA,"0"
"EF44_bin10","0","","","","",""
"... [0,10]","0","NaN%","","","",""
"... (10,20]","0","NaN%","","","",""
"... (20,30]","0","NaN%","","","",""
"... (30,40]","0","NaN%","","","",""
"... (40,50]","0","NaN%","","","",""
"... (50,60]","0","NaN%","","","",""
"... (60,70]","0","NaN%","","","",""
"... (70,80]","0","NaN%","","","",""
"... (80,90]","0","NaN%","","","",""
"EF517","0","NaN",NA,NA,NA,"0"
"EF540","0","NaN",NA,NA,NA,"0"
"EF436","0","NaN",NA,NA,NA,"0"
"EF436_num","0","NaN",NA,NA,NA,"0"
"EF442","0","NaN",NA,NA,NA,"0"
"EF442_num","0","NaN",NA,NA,NA,"0"
"EF114UG4","0","NaN",NA,NA,NA,"0"
"EF114UG3","0","NaN",NA,NA,NA,"0"
"EF137UG1","0","NaN",NA,NA,NA,"0"
