"Variable","N","Mean","Std. Dev.","Pctl. 25","Pctl. 75","Sum"
"EF952","475","83.44698","48.55831","67.631","110.761","39637.317"
"EF46","377","1.45623","0.49874","1","2","549"
"EF44","377","50.00265","31.83714","18","88","18851"
"EF44_bin10","377","","","","",""
"... [0,10]","59","15.65%","","","",""
"... (10,20]","69","18.302%","","","",""
"... (20,30]","19","5.04%","","","",""
"... (30,40]","13","3.448%","","","",""
"... (40,50]","13","3.448%","","","",""
"... (50,60]","20","5.305%","","","",""
"... (60,70]","73","19.363%","","","",""
"... (70,80]","0","0%","","","",""
"... (80,90]","111","29.443%","","","",""
"EF517","283","374.06007","177.05713","244","354","105859"
"EF540","283","34.75972","17.18358","20","34","9837"
"EF436","233","7.72103","3.74446","6","11","1799"
"EF436_num","233","1445.92275","901.01386","1000","2150","336900"
"EF442","0","NaN",NA,NA,NA,"0"
"EF442_num","0","NaN",NA,NA,NA,"0"
"EF114UG4","0","NaN",NA,NA,NA,"0"
"EF114UG3","0","NaN",NA,NA,NA,"0"
"EF137UG1","0","NaN",NA,NA,NA,"0"
