"Variable","N","Mean","Std. Dev.","Pctl. 25","Pctl. 75","Sum"
"EF952","887","95.86021","43.42553","85.3145","115.069","85028.002"
"EF46","789","","","","",""
"... Male","394","49.937%","","","",""
"... Female","395","50.063%","","","",""
"EF44","789","47.05957","24.32986","27","63","37130"
"EF44_bin10","789","","","","",""
"... [0,10]","59","7.478%","","","",""
"... (10,20]","85","10.773%","","","",""
"... (20,30]","90","11.407%","","","",""
"... (30,40]","86","10.9%","","","",""
"... (40,50]","110","13.942%","","","",""
"... (50,60]","129","16.35%","","","",""
"... (60,70]","116","14.702%","","","",""
"... (70,80]","0","0%","","","",""
"... (80,90]","114","14.449%","","","",""
"EF517","695","","","","",""
"... ISCED-Level 1 - PE","35","5.036%","","","",""
"... ISCED-Level 2 - LSGE","109","15.683%","","","",""
"... ISCED-Level 3 - USGE","36","5.18%","","","",""
"... ISCED-Level 3 - USVE","269","38.705%","","","",""
"... ISCED-Level 4 - PSNTVE","69","9.928%","","","",""
"... ISCED-Level 5 - SCTVE","4","0.576%","","","",""
"... ISCED-Level 6 - Bachelor","92","13.237%","","","",""
"... ISCED-Level 6 - Master","81","11.655%","","","",""
"EF540","695","","","","",""
"... ISCED 1 ECE (000)","0","0%","","","",""
"... ISCED 1 PE (100)","35","5.036%","","","",""
"... ISCED 2 LSE (200)","109","15.683%","","","",""
"... ISCED 3 USE (300)","0","0%","","","",""
"... ISCED 3 USE (302)","0","0%","","","",""
"... ISCED 3 USE (303)","9","1.295%","","","",""
"... ISCED 3 USE (304)","296","42.59%","","","",""
"... ISCED 4 PSNTE (400)","69","9.928%","","","",""
"... ISCED 5 SCTE (500)","4","0.576%","","","",""
"... ISCED 6 Bachelor (600)","92","13.237%","","","",""
"... ISCED 7 Master (700)","76","10.935%","","","",""
"... ISCED 8 Doctoral (800)","5","0.719%","","","",""
"EF436","642","","","","",""
"... < 150","15","2.336%","","","",""
"... 150 to < 300","1","0.156%","","","",""
"... 300 to < 500","49","7.632%","","","",""
"... 500 to < 700","0","0%","","","",""
"... 700 to < 900","38","5.919%","","","",""
"... 900 to < 1,100","48","7.477%","","","",""
"... 1,100 to < 1,300","107","16.667%","","","",""
"... 1,300 to < 1,500","52","8.1%","","","",""
"... 1,500 to < 1,700","0","0%","","","",""
"... 1,700 to < 2,000","52","8.1%","","","",""
"... 2,000 to < 2,300","117","18.224%","","","",""
"... 2,300 to < 2,600","50","7.788%","","","",""
"... 2,600 to < 2,900","28","4.361%","","","",""
"... 2,900 to < 3,200","16","2.492%","","","",""
"... 3,200 to < 3,600","27","4.206%","","","",""
"... 3,600 to < 4,000","10","1.558%","","","",""
"... 4,000 to < 4,500","12","1.869%","","","",""
"... 4,500 to < 5,000","4","0.623%","","","",""
"... 5,000 to < 5,500","2","0.312%","","","",""
"... 5,500 to < 6,000","4","0.623%","","","",""
"... 6,000 to < 7,500","6","0.935%","","","",""
"... 7,500 to < 10,000","2","0.312%","","","",""
"... 10,000 to < 18,000","1","0.156%","","","",""
"... > 18,000","0","0%","","","",""
"... Farmer (self-employed, main job)","1","0.156%","","","",""
"EF436_num","641","1876.79407","1269.61512","1200","2450","1203025"
"EF442","371","","","","",""
"... < 150","1","0.27%","","","",""
"... 150 to < 300","1","0.27%","","","",""
"... 300 to < 500","24","6.469%","","","",""
"... 500 to < 700","16","4.313%","","","",""
"... 700 to < 900","22","5.93%","","","",""
"... 900 to < 1,100","17","4.582%","","","",""
"... 1,100 to < 1,300","28","7.547%","","","",""
"... 1,300 to < 1,500","25","6.739%","","","",""
"... 1,500 to < 1,700","36","9.704%","","","",""
"... 1,700 to < 2,000","45","12.129%","","","",""
"... 2,000 to < 2,300","47","12.668%","","","",""
"... 2,300 to < 2,600","28","7.547%","","","",""
"... 2,600 to < 2,900","20","5.391%","","","",""
"... 2,900 to < 3,200","16","4.313%","","","",""
"... 3,200 to < 3,600","17","4.582%","","","",""
"... 3,600 to < 4,000","6","1.617%","","","",""
"... 4,000 to < 4,500","7","1.887%","","","",""
"... 4,500 to < 5,000","2","0.539%","","","",""
"... 5,000 to < 5,500","3","0.809%","","","",""
"... 5,500 to < 6,000","2","0.539%","","","",""
"... 6,000 to < 7,500","6","1.617%","","","",""
"... 7,500 to < 10,000","1","0.27%","","","",""
"... 10,000 to < 18,000","1","0.27%","","","",""
"... > 18,000","0","0%","","","",""
"EF442_num","371","2014.62264","1380.71299","1200","2450","747425"
"EF114UG4","412","","","","",""
"... Occupations in agriculture, forestry, farming, and gardening","10","2.427%","","","",""
"... Occupations in production of raw materials and goods, and manufacturing","0","0%","","","",""
"... Occupations in construction, architecture, surveying and technical building services","100","24.272%","","","",""
"... Occupations in natural sciences, geography and informatics","0","0%","","","",""
"... Occupations in traffic, logistics, safety and security","81","19.66%","","","",""
"... Occupations in commercial services, trading, sales, the hotel business and tourism","0","0%","","","",""
"... Occupations in business organisation, accounting, law and administration","144","34.951%","","","",""
"... Occupations in health care, the social sector, teaching and education","0","0%","","","",""
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design","77","18.689%","","","",""
"... Military occupations","0","0%","","","",""
"EF114UG3","412","","","","",""
"... Occupations in agriculture, forestry, and farming","3","0.728%","","","",""
"... Occupations in gardening and floristry","7","1.699%","","","",""
"... Occupations in production and processing of raw materials, glass- and ceramic-making and -processing","0","0%","","","",""
"... Occupations in plastic-making and -processing, and wood-working and -processing","5","1.214%","","","",""
"... Occupations in paper-making and -processing, printing, and in technical media design","5","1.214%","","","",""
"... Occupations in metal-making and -working, and in metal construction","6","1.456%","","","",""
"... Technical occupations in machine-building and automotive industry","19","4.612%","","","",""
"... Occupations in mechatronics, energy electronics and electrical engineering","14","3.398%","","","",""
"... Occupations in technical research and development, construction, and production planning and scheduling","0","0%","","","",""
"... Occupations in textile- and leather-making and -processing","0","0%","","","",""
"... Occupations in food-production and -processing","21","5.097%","","","",""
"... Occupations in construction scheduling, architecture and surveying","0","0%","","","",""
"... Occupations in building construction above and below ground","0","0%","","","",""
"... Occupations in interior construction","18","4.369%","","","",""
"... Occupations in building services engineering and technical building services","0","0%","","","",""
"... Occupations in mathematics, biology, chemistry and physics","23","5.583%","","","",""
"... Occupations in geology, geography and environmental protection","0","0%","","","",""
"... Occupations in computer science, information and communication technology","0","0%","","","",""
"... Occupations in traffic and logistics (without vehicle driving)","0","0%","","","",""
"... Drivers and operators of vehicles and transport equipment","52","12.621%","","","",""
"... Occupations in safety and health protection, security and surveillance","0","0%","","","",""
"... Occupations in cleaning services","0","0%","","","",""
"... Occupations in purchasing, sales and trading","0","0%","","","",""
"... Sales occupations in retail trade","0","0%","","","",""
"... Occupations in tourism, hotels and restaurants","74","17.961%","","","",""
"... Occupations in business management and organisation","0","0%","","","",""
"... Occupations in financial services, accounting and tax consultancy","0","0%","","","",""
"... Occupations in law and public administration","88","21.359%","","","",""
"... Medical and health care occupations","0","0%","","","",""
"... Occupations in non-medical healthcare, body care, wellness and medical technicians","0","0%","","","",""
"... Occupations in education and social work, housekeeping, and theology","55","13.35%","","","",""
"... Occupations in teaching and training","0","0%","","","",""
"... Occupations in in philology, literature, humanities, social sciences, and economics","0","0%","","","",""
"... Occupations in advertising and marketing, in commercial and editorial media design","0","0%","","","",""
"... Occupations in product design, artisan craftwork, fine arts and the making of musical instruments","0","0%","","","",""
"... Occupations in the performing arts and entertainment","22","5.34%","","","",""
"... Armed forces personnel","0","0%","","","",""
"EF137UG1","412","","","","",""
"... Crop and animal production, hunting and related service activities","0","0%","","","",""
"... Forestry and logging","0","0%","","","",""
"... Fishing and aquaculture","0","0%","","","",""
"... Mining of coal and lignite","0","0%","","","",""
"... Extraction of crude petroleum and natural gas","0","0%","","","",""
"... Mining of metal ores","0","0%","","","",""
"... Other mining and quarrying","0","0%","","","",""
"... Mining support service activities","7","1.699%","","","",""
"... Manufacture of food products","0","0%","","","",""
"... Manufacture of beverages","0","0%","","","",""
"... Manufacture of tobacco products","0","0%","","","",""
"... Manufacture of textiles","0","0%","","","",""
"... Manufacture of wearing apparel","0","0%","","","",""
"... Manufacture of leather and related products","0","0%","","","",""
"... Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","0","0%","","","",""
"... Manufacture of paper and paper products","0","0%","","","",""
"... Printing and reproduction of recorded media","0","0%","","","",""
"... Manufacture of coke and refined petroleum products","0","0%","","","",""
"... Manufacture of chemicals and chemical products","0","0%","","","",""
"... Manufacture of basic pharmaceutical products and pharmaceutical preparations","0","0%","","","",""
"... Manufacture of rubber and plastic products","0","0%","","","",""
"... Manufacture of other non-metallic mineral products","0","0%","","","",""
"... Manufacture of basic metals","0","0%","","","",""
"... Manufacture of fabricated metal products, except machinery and equipment","0","0%","","","",""
"... Manufacture of computer, electronic and optical products","0","0%","","","",""
"... Manufacture of electrical equipment","0","0%","","","",""
"... Manufacture of machinery and equipment n.e.c.","0","0%","","","",""
"... Manufacture of motor vehicles, trailers and semi-trailers","65","15.777%","","","",""
"... Manufacture of other transport equipment","0","0%","","","",""
"... Manufacture of furniture","0","0%","","","",""
"... Other manufacturing","0","0%","","","",""
"... Repair and installation of machinery and equipment","0","0%","","","",""
"... Electricity, gas, steam and air conditioning supply","0","0%","","","",""
"... Water collection, treatment and supply","0","0%","","","",""
"... Sewerage","0","0%","","","",""
"... Waste collection, treatment and disposal activities; materials recovery","0","0%","","","",""
"... Remediation activities and other waste management services","8","1.942%","","","",""
"... Construction of buildings","0","0%","","","",""
"... Civil engineering","0","0%","","","",""
"... Specialised construction activities","0","0%","","","",""
"... Wholesale and retail trade and repair of motor vehicles and motorcycles","0","0%","","","",""
"... Wholesale trade, except of motor vehicles and motorcycles","0","0%","","","",""
"... Retail trade, except of motor vehicles and motorcycles","0","0%","","","",""
"... Land transport and transport via pipelines","0","0%","","","",""
"... Water transport","0","0%","","","",""
"... Air transport","0","0%","","","",""
"... Warehousing and support activities for transportation","0","0%","","","",""
"... Postal and courier activities","0","0%","","","",""
"... Accommodation","0","0%","","","",""
"... Food and beverage service activities","0","0%","","","",""
"... Publishing activities","0","0%","","","",""
"... Motion picture, video and television programme production, sound recording and music publishing activities","0","0%","","","",""
"... Programming and broadcasting activities","0","0%","","","",""
"... Telecommunications","0","0%","","","",""
"... Computer programming, consultancy and related activities","0","0%","","","",""
"... Information service activities","0","0%","","","",""
"... Financial service activities, except insurance and pension funding","0","0%","","","",""
"... Insurance, reinsurance and pension funding, except compulsory social security","0","0%","","","",""
