,Classification_1_URI_it,Classification_1_PrefLabel_it,Classification_1_URL_it,Classification_2_ID_it,Classification_2_PrefLabel_it,Classification_2_URL_it,Mapping_relation_it,Editorial_note_it,Classification_1_URI_de,Classification_1_PrefLabel_de,Classification_1_URL_de,Classification_2_ID_de,Classification_2_PrefLabel_de,Classification_2_URL_de,Mapping_relation_de,isco08_jrc,occ_eng_jrc,n_green_tasks_jrc,n_tasks_jrc,greenness_jrc
0,http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,deputato/deputata,http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,1.1.1.1.0,Membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare,http://professioni.istat.it/cp2011/scheda.php?id=1.1.1.1.0,skos:broadMatch,,http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,Abgeordneter/Abgeordnete,http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,90855,Abgeordnete/r,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=90855,skos:exactMatch,,,,,0.0
1,http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,assessore comunale/assessora comunale,http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,1.1.1.3.0,Membri di organismi di governo e di assemblee provinciali con potestà regolamentare,http://professioni.istat.it/cp2011/scheda.php?id=1.1.1.3.0,skos:broadMatch,,http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,Stadtverordneter/Stadtverordnete,http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,90680,Stadtrat/-rätin,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=90680,skos:exactMatch,,,,,0.0
2,http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,assessore comunale/assessora comunale,http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,1.1.1.4.0,Membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare,http://professioni.istat.it/cp2011/scheda.php?id=1.1.1.4.0,skos:broadMatch,,http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,Stadtverordneter/Stadtverordnete,http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,90680,Stadtrat/-rätin,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=90680,skos:exactMatch,,,,,0.0
3,http://data.europa.eu/esco/occupation/6cee3765-2b3b-48b0-af2b-1eb512d071fd,sindaco/sindaca,http://data.europa.eu/esco/occupation/6cee3765-2b3b-48b0-af2b-1eb512d071fd,1.1.1.4.0,Membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare,http://professioni.istat.it/cp2011/scheda.php?id=1.1.1.4.0,skos:broadMatch,,http://data.europa.eu/esco/occupation/6cee3765-2b3b-48b0-af2b-1eb512d071fd,Bürgermeister/Bürgermeisterin,http://data.europa.eu/esco/occupation/6cee3765-2b3b-48b0-af2b-1eb512d071fd,90633,Bürgermeister/in,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=90633,skos:exactMatch,,,,,0.0
4,http://data.europa.eu/esco/occupation/a8d05b64-f60b-4dd9-91c2-e2e63d82f2f5,console,http://data.europa.eu/esco/occupation/a8d05b64-f60b-4dd9-91c2-e2e63d82f2f5,1.1.2.1.0,"Ambasciatori, ministri plenipotenziari ed alti dirigenti della carriera diplomatica",http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.1.0,skos:broadMatch,,http://data.europa.eu/esco/occupation/a8d05b64-f60b-4dd9-91c2-e2e63d82f2f5,Konsul/Konsulin,http://data.europa.eu/esco/occupation/a8d05b64-f60b-4dd9-91c2-e2e63d82f2f5,7609,Beamt(er/in) - Auswärtiger Dienst (höh.Dienst),https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=7609,skos:broadMatch,,,,,0.0
5,http://data.europa.eu/esco/occupation/1fb92021-9576-4c85-8759-f6918e9f0ad4,diplomatico,http://data.europa.eu/esco/occupation/1fb92021-9576-4c85-8759-f6918e9f0ad4,1.1.2.1.0,"Ambasciatori, ministri plenipotenziari ed alti dirigenti della carriera diplomatica",http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.1.0,skos:broadMatch,,http://data.europa.eu/esco/occupation/1fb92021-9576-4c85-8759-f6918e9f0ad4,Diplomat/Diplomatin,http://data.europa.eu/esco/occupation/1fb92021-9576-4c85-8759-f6918e9f0ad4,7609,Beamt(er/in) - Auswärtiger Dienst (höh.Dienst),https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=7609,skos:broadMatch,,,,,0.0
6,http://data.europa.eu/esco/occupation/190ec9a5-938c-45a5-bd9c-c12b1af33353,ambasciatore/ambasciatrice,http://data.europa.eu/esco/occupation/190ec9a5-938c-45a5-bd9c-c12b1af33353,1.1.2.1.0,"Ambasciatori, ministri plenipotenziari ed alti dirigenti della carriera diplomatica",http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.1.0,skos:closeMatch,,http://data.europa.eu/esco/occupation/190ec9a5-938c-45a5-bd9c-c12b1af33353,Botschafter/Botschafterin,http://data.europa.eu/esco/occupation/190ec9a5-938c-45a5-bd9c-c12b1af33353,7609,Beamt(er/in) - Auswärtiger Dienst (höh.Dienst),https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=7609,skos:broadMatch,,,,,0.0
7,http://data.europa.eu/esco/occupation/a2494c65-11a8-4853-9371-c89333c33be1,consigliere di ambasciata/consigliera di ambasciata,http://data.europa.eu/esco/occupation/a2494c65-11a8-4853-9371-c89333c33be1,1.1.2.1.0,"Ambasciatori, ministri plenipotenziari ed alti dirigenti della carriera diplomatica",http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.1.0,skos:broadMatch,,http://data.europa.eu/esco/occupation/a2494c65-11a8-4853-9371-c89333c33be1,Botschaftsrat/Botschaftsrätin,http://data.europa.eu/esco/occupation/a2494c65-11a8-4853-9371-c89333c33be1,7609,Beamt(er/in) - Auswärtiger Dienst (höh.Dienst),https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=7609,skos:broadMatch,,,,,0.0
8,http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,deputato/deputata,http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,1.1.2.2.1,"Commissari di governo, prefetti e vice prefetti",http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.2.1,skos:narrowMatch,,http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,Abgeordneter/Abgeordnete,http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,90855,Abgeordnete/r,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=90855,skos:exactMatch,,,,,0.0
9,http://data.europa.eu/esco/occupation/f2413988-f76a-4636-a4b1-9952517aa21f,comandante dei vigili del fuoco,http://data.europa.eu/esco/occupation/f2413988-f76a-4636-a4b1-9952517aa21f,1.1.2.2.2,"Capi e vice capi della polizia di Stato, questori ed alti responsabili della sicurezza pubblica",http://professioni.istat.it/cp2011/scheda.php?id=1.1.2.2.2,skos:broadMatch,,http://data.europa.eu/esco/occupation/f2413988-f76a-4636-a4b1-9952517aa21f,Brandinspektor/Brandinspektorin,http://data.europa.eu/esco/occupation/f2413988-f76a-4636-a4b1-9952517aa21f,8169,Beamt(er/in) - Feuerwehr (höh. techn. Dienst),https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=8169,skos:broadMatch,,,,,0.0
