Mapping project name,ESCO - DKZ Berufe
Mapping project author,default-author
Mapping project version,N/A
Mapping project version date,2022-03-24
Classification 1 Name,ESCO-Berufe
Classification 1 Concept type,Occupation
Classification 1 Version,1.0.3
Classification 1 Language,de
Classification 1 Landing page,https://ec.europa.eu/esco/portal/occupation
Classification 2 Name,Digitales-Klassifizierungs-Zentrum Berufe
Classification 2 Concept type,occupations
Classification 2 Version,August 2019
Classification 2 Language,de
Classification 2 Landing page,https://berufenet.arbeitsagentur.de


Classification 1 URI,Classification 1 PrefLabel,Classification 1 URL,Classification 2 ID,Classification 2 PrefLabel,Classification 2 URL,Mapping relation
,,,93551,Freiwil. Wehrdienstleistende/r - Laufbahngruppe Mannschaften,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=93551,no relation
http://data.europa.eu/esco/occupation/7696b15a-c52e-4ac5-b38d-9eeb010c5fa3,Artillerieoffizier/Artillerieoffizierin,http://data.europa.eu/esco/occupation/7696b15a-c52e-4ac5-b38d-9eeb010c5fa3,15341,Offizier - Truppendienst,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=15341,skos:broadMatch
http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90,Marineoffizier/Marineoffizierin,http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90,15341,Offizier - Truppendienst,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=15341,skos:broadMatch
http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,Offizier für die Streitkräfte/Offizierin für die Streitkräfte,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,15341,Offizier - Truppendienst,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=15341,skos:exactMatch
http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7,Kommandeur eines Geschwaders oder einer Kompanie/Kommandeurin eines Geschwaders oder einer Kompanie,http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7,15341,Offizier - Truppendienst,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=15341,skos:broadMatch
http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505,Luftwaffenoffizier/Luftwaffenoffizierin,http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505,15341,Offizier - Truppendienst,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=15341,skos:broadMatch
http://data.europa.eu/esco/occupation/4a3f40a8-0587-494c-b8d3-7098b8c5992f,Oberstabsgefreiter,http://data.europa.eu/esco/occupation/4a3f40a8-0587-494c-b8d3-7098b8c5992f,15474,Soldat/in auf Zeit - Laufbahngruppe Mannschaften,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=15474,skos:broadMatch
http://data.europa.eu/esco/occupation/bd5a2f44-fc06-45fd-909b-3a4001c8b8a3,Grenadier/Grenadierin,http://data.europa.eu/esco/occupation/bd5a2f44-fc06-45fd-909b-3a4001c8b8a3,15474,Soldat/in auf Zeit - Laufbahngruppe Mannschaften,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=15474,skos:broadMatch
http://data.europa.eu/esco/occupation/c94dc5b2-6b23-4915-8de5-a4e6ae86d802,Kampfpilot/Kampfpilotin,http://data.europa.eu/esco/occupation/c94dc5b2-6b23-4915-8de5-a4e6ae86d802,15341,Offizier - Truppendienst,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=15341,skos:broadMatch
http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,Abgeordneter/Abgeordnete,http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,90855,Abgeordnete/r,https://berufenet.arbeitsagentur.de/berufenet/faces/index?path=null/kurzbeschreibung&dkz=90855,skos:exactMatch
