,isco_level_1,isco_label_1,share_green_gtp_mean,n_occ_esco_sum,share_green_esco_mean,share_brown_esco_mean,share_neutral_esco_mean,isco_code,isco_level_2,isco_label_2,isco_level_3,isco_label_3,isco_level_4,isco_label_4
0,0,Armed forces occupations,0.0,21.0,0.0027829313543599257,0.0016420361247947454,0.9955750325208453,0,,,,,,
1,1,Managers,0.23856682701105647,338.0,0.03383596633580968,0.005270044943173518,0.9608939887210168,1,,,,,,
2,2,Professionals,0.32105381026983176,846.0,0.044371884967303835,0.009094418289473815,0.9465336967432224,2,,,,,,
3,3,Technicians and associate professionals,0.32192532871880697,653.0,0.04819942091915323,0.010582473949165337,0.9412181051316815,3,,,,,,
4,4,Clerical support workers,0.16405433646812959,89.0,0.024906411129677793,0.003997523625091568,0.9710960652452306,4,,,,,,
5,5,Service and sales workers,0.11764705882352941,205.0,0.024881212383636102,0.002711786824669178,0.9724070007916947,5,,,,,,
6,6,"Skilled agricultural, forestry and fishery workers",0.2631578947368421,44.0,0.1901476391595817,0.0011266273506175587,0.8087257334898008,6,,,,,,
7,7,Craft and related trades workers,0.15349584822973128,390.0,0.037103839073627624,0.048254626755343914,0.9146415341710286,7,,,,,,
8,8,Plant and machine operators and assemblers,0.08861778616939013,347.0,0.037266927718380256,0.08079137458667322,0.8819416976949466,8,,,,,,
9,9,Elementary occupations,0.7954545454545454,75.0,0.08194055835907751,0.022241598505094655,0.8958178431358277,9,,,,,,
10,,,0.0,12.0,0.002976190476190476,0.0,0.9970238095238096,01,01,Commissioned armed forces officers,,,,
11,,,0.0,4.0,0.0,0.0,1.0,02,02,Non-commissioned armed forces officers,,,,
12,,,0.0,5.0,0.004545454545454545,0.006896551724137931,0.9885579937304076,03,03,"Armed forces occupations, other ranks",,,,
13,,,0.1176470588235294,25.0,0.013438234288287441,0.0,0.9865617657117126,11,11,"Chief executives, senior officials and legislators",,,,
14,,,0.22462553348286954,57.0,0.04082388171157879,0.005242243259456103,0.9539338750289651,12,12,Administrative and commercial managers,,,,
15,,,0.32483863110461575,184.0,0.032955898728792406,0.0077851485054546265,0.9592589527657529,13,13,Production and specialised services managers,,,,
16,,,0.11764705882352941,72.0,0.03763547417553741,0.0006944444444444445,0.9616700813800182,14,14,"Hospitality, retail and other services managers",,,,
17,,,0.393776356878826,272.0,0.11182201500377986,0.024700478309780255,0.8634775066864399,21,21,Science and engineering professionals,,,,
18,,,0.0,60.0,0.04299768198993581,0.003373733449491025,0.9536285845605731,22,22,Health professionals,,,,
19,,,0.0,131.0,0.006145748082811717,0.0033023020391908567,0.9905519498779974,23,23,Teaching professionals,,,,
20,,,0.23480410312708447,130.0,0.022285216198425477,0.0,0.9777147838015745,24,24,Business and administration professionals,,,,
21,,,1.0,69.0,0.004140786749482401,0.0002163097555699762,0.9956429034949477,25,25,Information and communications technology professionals,,,,
22,,,0.042202066011589816,184.0,0.0030178276715045857,0.001768461007591442,0.995213711320904,26,26,"Legal, social and cultural professionals",,,,
23,,,0.362020435517878,267.0,0.08748969733689449,0.02176431724135223,0.8907459854217533,31,31,Science and engineering associate professionals,,,,
24,,,0.8365384615384616,55.0,0.05601733234881154,0.0006975269499048826,0.9432851407012837,32,32,Health associate professionals,,,,
25,,,0.24993755717439928,201.0,0.016180861592935577,0.005093939134736883,0.9787251992723276,33,33,Business and administration associate professionals,,,,
26,,,0.0,108.0,0.015151991941115429,0.0003429355281207133,0.9845050725307638,34,34,"Legal, social, cultural and related associate professionals",,,,
27,,,0.0,22.0,0.0065795946477764655,0.0,0.9934204053522234,35,35,Information and communications technicians,,,,
28,,,0.0,5.0,0.0,0.0,1.0,41,41,General and keyboard clerks,,,,
29,,,0.0,38.0,0.021196072797768587,0.0,0.9788039272022315,42,42,Customer services clerks,,,,
