NACE1D,AT,BE,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IS,IT,LT,LU,LV,NL,NO,PT,RO,SE,SK,UK
A,2992,239,966,466,519,3186,1055,533,1729,439,882,13035,270,5749,3074,369,8770,1742,40,325,720,311,4406,23356,1043,1048,463
B,138,12,21,33,104,448,82,110,71,35,26,317,10,259,205,9,260,54,1,16,35,346,188,782,124,130,138
C,13974,2254,4948,1250,4850,50290,5243,2613,4986,1460,3637,6668,620,20497,6847,833,35046,4685,163,571,3789,1115,9052,19705,6710,8462,3642
D,602,120,233,97,186,2089,281,127,164,59,219,579,40,622,401,89,1019,241,26,47,173,101,277,970,398,405,224
E,403,160,122,142,216,1656,272,65,284,45,228,584,64,1162,339,33,2099,443,13,25,178,67,558,1175,347,354,262
F,7212,1445,2191,1679,1198,17448,2822,1088,2379,848,2053,2860,219,6379,4007,582,11749,2124,244,300,1783,1188,4054,6988,4537,2891,2786
G,12669,2505,4647,3171,1905,36325,7795,1904,5816,1226,3857,12500,424,9331,8231,1056,27602,4797,339,581,6059,1872,9120,14422,7104,4280,4818
H,4297,1040,1635,757,1104,13074,1964,997,1819,656,1574,3577,182,5171,2984,563,9362,2154,202,308,1763,686,2775,5561,3094,2387,1903
I,5474,735,1406,1532,581,9243,1999,589,2886,383,1139,7526,180,3063,4381,447,13381,782,172,118,1740,457,4938,2257,1933,1412,1955
J,2172,583,1439,452,410,8344,1805,581,915,488,857,1368,105,1391,2988,375,4465,597,175,76,1445,503,1318,1432,3261,943,1486
K,2621,557,2199,912,313,8081,1294,236,782,213,1009,1251,88,1004,2821,340,5086,418,475,57,1280,271,1120,1157,1345,714,1392
L,720,166,471,113,127,1335,702,250,232,108,337,89,9,320,258,65,1229,288,34,86,311,137,670,198,1109,235,440
M,4939,1025,3695,1376,752,15354,2848,686,1835,769,1725,3416,125,2101,3763,647,12117,1170,389,110,3075,801,2491,1975,5926,1201,2795
N,2866,1215,1253,536,426,13029,1927,479,1851,471,1240,1601,75,2188,2897,302,8594,1086,145,125,2026,614,2215,2390,2970,842,1762
O,5696,1577,2106,1160,1050,17704,2284,881,2843,506,2852,5507,203,8198,3208,534,9930,1675,587,292,2796,862,4576,3770,5014,3033,2433
P,5818,1940,3411,1352,1244,18239,4534,1494,2885,844,2553,5968,244,6147,5357,1242,14867,3341,396,430,3275,1213,5944,4006,8316,3074,4024
Q,9563,2933,6258,923,1402,35646,9340,977,3666,1918,4653,4358,229,6103,8182,1077,17133,2338,555,275,7128,2977,6169,4477,10719,2695,5447
R,1391,273,654,320,276,3627,1228,430,760,291,497,887,60,1172,1461,313,2679,605,56,112,839,311,937,598,1801,499,968
S,2292,451,1257,534,331,7428,1308,303,895,358,803,1471,67,1577,1529,209,5987,754,112,51,803,299,1562,1547,1699,528,1144
T,136,15,464,888,148,1315,27,1,973,34,426,451,2,48,197,0,6328,20,66,3,52,1,1745,196,3,3,56
U,81,212,52,76,1,113,24,6,1,3,22,74,1,11,15,2,99,0,277,0,2,3,39,4,10,15,48
