COUNTRYW,,missing_obs_abs,missing_obs_rel
AT,INCDECIL,86056.0,1.0
AT,INCDECIL_imputed,86056.0,1.0
BE,INCDECIL,3061.0,0.15732127254972503
BE,INCDECIL_imputed,100.0,0.005139538469445443
CH,INCDECIL,6786.0,0.17211119001724662
CH,INCDECIL_imputed,129.0,0.003271786547631125
CY,INCDECIL,3254.0,0.18312791941020878
CY,INCDECIL_imputed,197.0,0.011086724070009567
CZ,INCDECIL,17143.0,1.0
CZ,INCDECIL_imputed,17143.0,1.0
DE,INCDECIL,29833.0,0.11301491813587702
DE,INCDECIL_imputed,52.0,0.00019698909741110867
DK,INCDECIL,9054.0,0.1854036122373756
DK,INCDECIL_imputed,108.0,0.0022115739034279398
EE,INCDECIL,1628.0,0.11344947735191638
EE,INCDECIL_imputed,64.0,0.00445993031358885
ES,INCDECIL,40695.0,1.0
ES,INCDECIL_imputed,40695.0,1.0
FI,INCDECIL,8962.0,0.803478572709342
FI,INCDECIL_imputed,1039.0,0.09315043930428546
FR,INCDECIL,3944.0,0.1289352381575076
FR,INCDECIL_imputed,193.0,0.00630945764817418
GR,INCDECIL,33797.0,0.4561798966080419
GR,INCDECIL_imputed,455.0,0.006141428320758028
HR,INCDECIL,1097.0,0.3410009325458502
HR,INCDECIL_imputed,152.0,0.04724898974199565
HU,INCDECIL,8746.0,0.10602111694325579
HU,INCDECIL_imputed,124.0,0.0015031578436958287
IE,INCDECIL,40103.0,0.6350938316572967
IE,INCDECIL_imputed,781.0,0.012368358539868557
IS,INCDECIL,9087.0,1.0
IS,INCDECIL_imputed,9087.0,1.0
IT,INCDECIL,46869.0,0.2369490702824036
IT,INCDECIL_imputed,221.0,0.0011172788950566729
LT,INCDECIL,6076.0,0.2072729753701303
LT,INCDECIL_imputed,102.0,0.0034795660776420823
LU,INCDECIL,772.0,0.17282292366241325
LU,INCDECIL_imputed,69.0,0.01544660846205507
LV,INCDECIL,518.0,0.13254861821903788
LV,INCDECIL_imputed,72.0,0.01842374616171955
NL,INCDECIL,6347.0,0.1616164188225708
NL,INCDECIL_imputed,143.0,0.0036412711346506415
NO,INCDECIL,14135.0,1.0
NO,INCDECIL_imputed,14135.0,1.0
PT,INCDECIL,18188.0,0.2835053153349752
PT,INCDECIL_imputed,1353.0,0.021089877482308197
RO,INCDECIL,25512.0,0.26310253078398615
RO,INCDECIL_imputed,5185.0,0.05347235113338696
SE,INCDECIL,67463.0,1.0
SE,INCDECIL_imputed,67463.0,1.0
SK,INCDECIL,12902.0,0.3670450342806748
SK,INCDECIL_imputed,375.0,0.01066825979346249
UK,INCDECIL,14063.0,0.368276331639868
UK,INCDECIL_imputed,230.0,0.006023149845493112
