,COUNTRYW,missing_obs_abs,missing_obs_rel
0,AT,86056.0,1.0
24,SE,67735.0,1.0
21,NO,14150.0,1.0
4,CZ,17143.0,1.0
15,IS,9105.0,1.0
8,ES,40695.0,1.0
9,FI,8974.0,0.8034019695613249
14,IE,40136.0,0.6352241073689542
11,GR,33797.0,0.4561798966080419
26,UK,14117.0,0.36844577841576404
25,SK,12902.0,0.3670450342806748
12,HR,1099.0,0.3414103758931345
22,PT,18188.0,0.2835053153349752
23,RO,25512.0,0.26310253078398615
16,IT,46869.0,0.2369490702824036
17,LT,6076.0,0.2072729753701303
6,DK,9070.0,0.18555646481178395
3,CY,3254.0,0.18312791941020878
2,CH,7159.0,0.1785019697800828
18,LU,832.0,0.1778537836682343
20,NL,7227.0,0.16737690490527585
1,BE,3061.0,0.15732127254972503
19,LV,518.0,0.13254861821903788
10,FR,3973.0,0.12860518564076004
7,EE,1628.0,0.11344947735191638
5,DE,29833.0,0.11301491813587702
13,HU,8746.0,0.10602111694325579
