NACE1D,AT,BE,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IS,IT,LT,LU,LV,NL,NO,PT,RO,SE,SK,UK
A,53,28,70,22,50,79,55,42,59,34,41,39,27,83,51,40,71,62,7,47,75,42,60,62,51,55,54
B,26,9,13,11,26,59,25,24,18,17,13,24,9,35,36,4,35,16,1,9,23,42,26,40,20,22,38
C,107,95,120,63,79,113,94,78,88,76,90,84,62,109,87,75,108,94,53,71,117,80,95,94,84,105,98
D,48,40,48,18,44,85,42,35,39,22,43,47,17,50,48,30,59,38,8,18,48,29,38,46,41,40,46
E,43,41,37,21,43,82,40,18,43,15,42,33,28,63,46,16,65,50,8,13,57,24,54,50,38,44,47
F,85,67,82,39,48,96,61,48,60,54,68,49,36,80,53,41,70,64,39,38,88,57,60,60,70,61,81
G,112,89,117,72,73,113,91,64,88,76,94,85,48,98,87,79,100,95,59,64,122,73,93,81,95,88,93
H,86,64,94,40,56,103,70,59,58,51,67,62,37,82,66,53,88,65,41,54,92,48,72,58,66,65,73
I,88,46,83,46,31,89,60,40,61,26,59,60,26,70,59,37,73,49,19,25,69,35,66,51,44,42,55
J,73,47,77,34,39,96,61,42,51,41,60,48,29,56,62,49,65,48,39,25,85,47,55,55,57,48,59
K,56,38,80,32,29,84,50,28,39,31,62,38,18,42,42,34,49,34,29,18,76,22,39,31,33,32,55
L,41,34,56,13,23,67,52,34,26,25,41,13,6,32,29,19,36,52,13,24,51,36,33,29,55,26,53
M,93,77,120,53,62,106,82,57,71,63,85,58,38,75,87,64,91,83,49,32,111,61,70,68,93,68,97
N,89,76,102,44,53,104,79,57,72,64,89,59,21,90,79,53,100,72,30,32,115,73,80,69,93,57,89
O,101,85,94,56,65,109,69,65,88,55,90,82,38,110,77,64,91,70,70,49,98,66,94,82,83,86,83
P,87,68,102,33,49,103,73,69,77,52,72,64,30,94,62,44,81,74,35,48,93,59,66,62,72,55,82
Q,94,85,115,39,70,109,83,52,72,59,84,71,28,84,71,56,86,74,51,45,100,68,79,71,81,48,86
R,77,55,87,34,56,96,65,48,73,46,67,49,24,78,70,46,79,61,27,34,84,60,61,54,73,48,81
S,85,57,98,34,51,110,75,55,68,57,90,53,20,85,74,45,95,69,29,22,89,50,71,71,75,47,84
T,13,8,47,6,4,31,6,1,14,5,19,12,2,10,7,0,24,3,6,2,15,1,13,10,1,3,13
U,24,40,29,19,1,38,10,5,1,2,12,13,1,3,9,2,34,0,33,0,2,3,13,2,6,6,23
