NACE1D_label,COEFF,COEFF_share_brown_sl,COEFF_share_brown_slt,COEFF_share_green
Accommodation and Food Service Activities,11605.3875,1370.760204,879.4255137,104.72792
Activities of Extraterritorial Organisations and Bodies,2926.285,349.9191323,236.4229876,90.64736
Activities of Households as Employers; Undifferentiated Goods and Services Producing Activities of Households for Own Use,607.795,46.08536296,46.08536296,14.3574
Administrative and Support Service Activities,120505.8675,15097.69014,9985.937081,1802.545259
"Agriculture, Forestry and Fishing",30657.4875,6420.999675,2143.676765,225.9935865
"Arts, Entertainment and Recreation",14713.3025,2183.933732,974.0397755,229.84474
Construction,976114.965,124992.705,79487.66295,43840.06776
Education,44820.7925,5956.956749,3190.153543,2723.632247
"Electricity, Gas, Steam and Air Conditioning Supply",83682.665,12398.50549,8373.499871,4741.175453
Financial and Insurance Activities,67536.995,5640.544778,5194.722783,770.2617117
Human Health and Social Work Activities,94270.3275,15628.59803,6256.887544,1147.076628
Information and Communication,62779.345,7245.527767,5106.274257,2491.157774
Manufacturing,3142850.115,923197.3966,233677.0541,49634.84984
Mining and Quarrying,35420.85,13820.91767,6850.734116,625.7369853
Other Service Activities,90408.0575,8882.672172,4195.793004,767.3066225
"Professional, Scientific and Technical Activities",279133.33,40795.20211,23875.94624,20889.26364
Public Administration and Defence; Compulsory Social Security,268019.1875,28397.49852,22377.96455,6508.666814
Real Estate Activities,19632.9925,1862.093556,1553.817774,574.66442
Transportation and Storage,424720.5675,38876.36312,30954.1021,1651.184274
"Water Supply; Sewerage, Waste Management and Remediation Activities",78579.7725,16406.99691,9922.935356,6759.474745
Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,981533.7225,148892.3204,72051.9592,6213.325917
SUM,6830519.81,1418463.687,527335.0949,151805.9611
