NACE1D_label,COEFF,COEFF_share_brown_sl,COEFF_share_brown_slt,COEFF_share_green
Accommodation and Food Service Activities,21657.1925,1659.0861783882965,1246.6879038378827,824.9220854384672
Activities of Extraterritorial Organisations and Bodies,3647.0625,375.79405121979056,262.2979065205424,148.94067613854088
Activities of Households as Employers; Undifferentiated Goods and Services Producing Activities of Households for Own Use,607.795,46.08536296296296,46.08536296296296,14.3574
Administrative and Support Service Activities,152485.685,15739.524668155313,11125.3731899931,4151.72267607337
"Agriculture, Forestry and Fishing",33488.1425,6418.406090355195,2273.5339997564256,490.39003318495986
"Arts, Entertainment and Recreation",20262.975,2375.814824286846,1192.9871532062934,714.6175260340075
Construction,1466130.6675,139374.7070266158,96977.97404581266,82787.39159310334
Education,51907.905,6074.017025543612,3487.8236786877055,3333.553080101074
"Electricity, Gas, Steam and Air Conditioning Supply",153774.825,14685.230529182169,11050.363445382654,11256.389453531154
Financial and Insurance Activities,71619.025,5794.851148595223,5332.4133061088605,1069.6845413592262
Human Health and Social Work Activities,125776.4175,15544.299539241632,7454.776170901384,2180.6771101471054
Information and Communication,84775.1425,7871.789494342465,5862.516914232174,3927.2255207367502
Manufacturing,3672828.6425,843295.101210492,261981.63823262643,105681.10004816316
Mining and Quarrying,41703.55,13828.869887001561,7103.775295069438,1214.8064666106252
Other Service Activities,74615.575,7310.754161379086,4868.202355486182,2244.753475747805
"Professional, Scientific and Technical Activities",328963.7325,41987.92891550096,25702.850390529926,24552.163252290713
Public Administration and Defence; Compulsory Social Security,305179.545,29726.982749671683,23707.919626987125,9542.130389968763
Real Estate Activities,24174.7725,2039.0507408948256,1714.4652139416376,960.9295901738584
Transportation and Storage,477240.1225,40302.894530568905,32637.184851051024,5140.078706213175
"Water Supply; Sewerage, Waste Management and Remediation Activities",92900.5825,16209.866289146026,10464.698447761464,7878.152449815407
Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,1215734.2075,143015.66185873692,81780.95603090743,27093.449275396655
