NACE1D_label,COEFF,COEFF_share_brown_sl,COEFF_share_brown_slt,COEFF_share_green
Accommodation and Food Service Activities,1569514.7325,1778.0229664899007,1246.6879038378827,3153.895187220169
Activities of Extraterritorial Organisations and Bodies,18428.8125,375.79405121979056,262.2979065205424,357.2479362018606
Activities of Households as Employers; Undifferentiated Goods and Services Producing Activities of Households for Own Use,206850.67,46.08536296296296,46.08536296296296,340.9980604823748
Administrative and Support Service Activities,2104808.6925,16957.9377219127,11125.3731899931,46668.29592235721
"Agriculture, Forestry and Fishing",490218.065,6795.282478055729,2273.5339997564256,15252.557840617137
"Arts, Entertainment and Recreation",580899.595,2601.3733209446,1192.9871532062934,3892.597693348619
Construction,2807000.6275,144135.26718327918,96977.97404581266,127056.70055238034
Education,2843783.0625,6385.512119056137,3487.8236786877055,12966.434788736982
"Electricity, Gas, Steam and Air Conditioning Supply",324291.26,15209.369601796861,11050.363445382654,15268.088224321316
Financial and Insurance Activities,1242625.705,5844.216105146025,5332.4133061088605,8469.138273535433
Human Health and Social Work Activities,5580408.1425,17063.93478966381,7454.776170901384,110321.35701478856
Information and Communication,1336498.655,8936.355027483472,5862.516914232174,17890.1964254086
Manufacturing,7924292.79,957256.7724404385,261981.63823262643,193767.21451404094
Mining and Quarrying,69667.525,14125.999152938799,7103.775295069438,2057.821083863218
Other Service Activities,1165767.77,9726.153499649563,4868.202355486182,13239.21522745447
"Professional, Scientific and Technical Activities",2413727.285,47412.42115667039,25702.850390529926,55460.79514698209
Public Administration and Defence; Compulsory Social Security,2717578.37,30460.9324428535,23707.919626987125,68150.66197437317
Real Estate Activities,206497.8375,2086.502518969692,1714.4652139416376,2565.310354152366
Transportation and Storage,2101153.27,41135.79109825818,32637.184851051024,59117.10326184167
"Water Supply; Sewerage, Waste Management and Remediation Activities",260283.055,17086.8969277261,10464.698447761464,38363.3177598702
Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,5742470.5375,161147.82346801079,81780.95603090743,72222.75495033663
