NACE1D_label,COEFF,COEFF_share_brown_sl,COEFF_share_brown_slt,COEFF_share_green
Accommodation and Food Service Activities,156.77749999999997,121.37612903225804,30.34403225806451,0.0
Administrative and Support Service Activities,4245.755,3162.1879953840107,655.9959133941094,0.0
"Agriculture, Forestry and Fishing",3232.525,2207.232045932679,183.6308239831697,0.0
"Arts, Entertainment and Recreation",1153.84,777.5878260869565,50.166956521739124,0.0
Construction,21732.3275,17254.210502541093,4093.8875350631133,0.0
Education,1680.695,1234.174723647302,175.1531381486676,0.0
"Electricity, Gas, Steam and Air Conditioning Supply",2784.4725,2210.4012263480554,551.4496774193549,0.0
Human Health and Social Work Activities,11208.08,7922.879315781207,791.8908046984573,0.0
Information and Communication,704.1,527.8325008304422,47.64564165497896,0.0
Manufacturing,733609.6775,517339.6899057421,42714.831924964936,0.0
Mining and Quarrying,10949.35,9830.011536181893,4869.293606241235,0.0
Other Service Activities,2554.4175,1807.4122675822434,213.69115007012624,0.0
"Professional, Scientific and Technical Activities",7596.225,5731.840538701444,1018.1508520336605,0.0
Public Administration and Defence; Compulsory Social Security,2746.2375,1973.5787284226994,329.01557152875176,0.0
Transportation and Storage,2748.8475,1919.61188988554,142.67211430575034,0.0
"Water Supply; Sewerage, Waste Management and Remediation Activities",3544.0325000000003,2911.52027226061,819.5264375876578,0.0
Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,81755.1275,58235.27767580824,6989.119246143057,0.0
