NACE1D_label,AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IS,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SK,UK
Accommodation and Food Service Activities,5474,735,792,1406,1532,581,9243,1999,589,2886,383,1139,7526,180,3063,4381,447,13381,782,172,118,571,1740,457,2327,4938,2257,1933,1412,1955
Activities of Extraterritorial Organisations and Bodies,81,212,1,52,76,1,113,24,6,1,3,22,74,1,11,15,2,99,0,277,0,4,2,3,3,39,4,10,15,48
Activities of Households as Employers; Undifferentiated Goods and Services Producing Activities of Households for Own Use,136,15,32,464,888,148,1315,27,1,973,34,426,451,2,48,197,0,6328,20,66,3,39,52,1,121,1745,196,3,3,56
Administrative and Support Service Activities,2866,1215,581,1253,536,426,13029,1927,479,1851,471,1240,1601,75,2188,2897,302,8594,1086,145,125,431,2026,614,2718,2215,2390,2970,842,1762
"Agriculture, Forestry and Fishing",2992,239,1142,966,466,519,3186,1055,533,1729,439,882,13035,270,5749,3074,369,8770,1742,40,325,113,720,311,9259,4406,23356,1043,1048,463
"Arts, Entertainment and Recreation",1391,273,225,654,320,276,3627,1228,430,760,291,497,887,60,1172,1461,313,2679,605,56,112,359,839,311,1380,937,598,1801,499,968
Construction,7212,1445,1092,2191,1679,1198,17448,2822,1088,2379,848,2053,2860,219,6379,4007,582,11749,2124,244,300,519,1783,1188,6989,4054,6988,4537,2891,2786
Education,5818,1940,924,3411,1352,1244,18239,4534,1494,2885,844,2553,5968,244,6147,5357,1242,14867,3341,396,430,941,3275,1213,8504,5944,4006,8316,3074,4024
"Electricity, Gas, Steam and Air Conditioning Supply",602,120,203,233,97,186,2089,281,127,164,59,219,579,40,622,401,89,1019,241,26,47,4,173,101,1011,277,970,398,405,224
Financial and Insurance Activities,2621,557,257,2199,912,313,8081,1294,236,782,213,1009,1251,88,1004,2821,340,5086,418,475,57,444,1280,271,2248,1120,1157,1345,714,1392
Human Health and Social Work Activities,9563,2933,833,6258,923,1402,35646,9340,977,3666,1918,4653,4358,229,6103,8182,1077,17133,2338,555,275,858,7128,2977,6680,6169,4477,10719,2695,5447
Information and Communication,2172,583,352,1439,452,410,8344,1805,581,915,488,857,1368,105,1391,2988,375,4465,597,175,76,332,1445,503,2326,1318,1432,3261,943,1486
Manufacturing,13974,2254,2874,4948,1250,4850,50290,5243,2613,4986,1460,3637,6668,620,20497,6847,833,35046,4685,163,571,1070,3789,1115,18937,9052,19705,6710,8462,3642
Mining and Quarrying,138,12,174,21,33,104,448,82,110,71,35,26,317,10,259,205,9,260,54,1,16,10,35,346,859,188,782,124,130,138
Other Service Activities,2292,451,228,1257,534,331,7428,1308,303,895,358,803,1471,67,1577,1529,209,5987,754,112,51,190,803,299,1651,1562,1547,1699,528,1144
"Professional, Scientific and Technical Activities",4939,1025,444,3695,1376,752,15354,2848,686,1835,769,1725,3416,125,2101,3763,647,12117,1170,389,110,449,3075,801,3573,2491,1975,5926,1201,2795
Public Administration and Defence; Compulsory Social Security,5696,1577,948,2106,1160,1050,17704,2284,881,2843,506,2852,5507,203,8198,3208,534,9930,1675,587,292,653,2796,862,6233,4576,3770,5014,3033,2433
Real Estate Activities,720,166,45,471,113,127,1335,702,250,232,108,337,89,9,320,258,65,1229,288,34,86,95,311,137,1050,670,198,1109,235,440
Transportation and Storage,4297,1040,906,1635,757,1104,13074,1964,997,1819,656,1574,3577,182,5171,2984,563,9362,2154,202,308,515,1763,686,5731,2775,5561,3094,2387,1903
"Water Supply; Sewerage, Waste Management and Remediation Activities",403,160,156,122,142,216,1656,272,65,284,45,228,584,64,1162,339,33,2099,443,13,25,105,178,67,1100,558,1175,347,354,262
Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,12669,2505,2240,4647,3171,1905,36325,7795,1904,5816,1226,3857,12500,424,9331,8231,1056,27602,4797,339,581,1438,6059,1872,13776,9120,14422,7104,4280,4818
