NACE1D_label,AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IS,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SK,UK
Accommodation and Food Service Activities,88,46,30,83,46,31,89,60,40,61,26,59,60,26,70,59,37,73,49,19,25,9,69,35,33,66,51,44,42,55
Activities of Extraterritorial Organisations and Bodies,24,40,1,29,19,1,38,10,5,1,2,12,13,1,3,9,2,34,0,33,0,3,2,3,2,13,2,6,6,23
Activities of Households as Employers; Undifferentiated Goods and Services Producing Activities of Households for Own Use,13,8,6,47,6,4,31,6,1,14,5,19,12,2,10,7,0,24,3,6,2,3,15,1,9,13,10,1,3,13
Administrative and Support Service Activities,89,76,29,102,44,53,104,79,57,72,64,89,59,21,90,79,53,100,72,30,32,9,115,73,37,80,69,93,57,89
"Agriculture, Forestry and Fishing",53,28,30,70,22,50,79,55,42,59,34,41,39,27,83,51,40,71,62,7,47,9,75,42,34,60,62,51,55,54
"Arts, Entertainment and Recreation",77,55,27,87,34,56,96,65,48,73,46,67,49,24,78,70,46,79,61,27,34,9,84,60,34,61,54,73,48,81
Construction,85,67,26,82,39,48,96,61,48,60,54,68,49,36,80,53,41,70,64,39,38,9,88,57,34,60,60,70,61,81
Education,87,68,36,102,33,49,103,73,69,77,52,72,64,30,94,62,44,81,74,35,48,9,93,59,37,66,62,72,55,82
"Electricity, Gas, Steam and Air Conditioning Supply",48,40,24,48,18,44,85,42,35,39,22,43,47,17,50,48,30,59,38,8,18,2,48,29,32,38,46,41,40,46
Financial and Insurance Activities,56,38,16,80,32,29,84,50,28,39,31,62,38,18,42,42,34,49,34,29,18,8,76,22,22,39,31,33,32,55
Human Health and Social Work Activities,94,85,32,115,39,70,109,83,52,72,59,84,71,28,84,71,56,86,74,51,45,9,100,68,38,79,71,81,48,86
Information and Communication,73,47,25,77,34,39,96,61,42,51,41,60,48,29,56,62,49,65,48,39,25,8,85,47,29,55,55,57,48,59
Manufacturing,107,95,37,120,63,79,113,94,78,88,76,90,84,62,109,87,75,108,94,53,71,8,117,80,42,95,94,84,105,98
Mining and Quarrying,26,9,22,13,11,26,59,25,24,18,17,13,24,9,35,36,4,35,16,1,9,5,23,42,26,26,40,20,22,38
Other Service Activities,85,57,28,98,34,51,110,75,55,68,57,90,53,20,85,74,45,95,69,29,22,8,89,50,37,71,71,75,47,84
"Professional, Scientific and Technical Activities",93,77,27,120,53,62,106,82,57,71,63,85,58,38,75,87,64,91,83,49,32,7,111,61,37,70,68,93,68,97
Public Administration and Defence; Compulsory Social Security,101,85,32,94,56,65,109,69,65,88,55,90,82,38,110,77,64,91,70,70,49,9,98,66,38,94,82,83,86,83
Real Estate Activities,41,34,7,56,13,23,67,52,34,26,25,41,13,6,32,29,19,36,52,13,24,8,51,36,30,33,29,55,26,53
Transportation and Storage,86,64,30,94,40,56,103,70,59,58,51,67,62,37,82,66,53,88,65,41,54,8,92,48,34,72,58,66,65,73
"Water Supply; Sewerage, Waste Management and Remediation Activities",43,41,24,37,21,43,82,40,18,43,15,42,33,28,63,46,16,65,50,8,13,7,57,24,33,54,50,38,44,47
Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,112,89,35,117,72,73,113,91,64,88,76,94,85,48,98,87,79,100,95,59,64,8,122,73,39,93,81,95,88,93
